preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
Lisdexamfetamine,DRUG,DDInter,Lisdexamfetamine,,,,DDInter1078
Lisinopril,DRUG,DDInter,Lisinopril,,,,DDInter1079
Apixaban,DRUG,DDInter,Apixaban,,,,DDInter108
Lisocabtagene maraleucel,DRUG,DDInter,Lisocabtagene maraleucel,,,,DDInter1080
Lithium carbonate,DRUG,DDInter,Lithium carbonate,,,,DDInter1081
Lixisenatide,DRUG,DDInter,Lixisenatide,,,,DDInter1082
Lofexidine,DRUG,DDInter,Lofexidine,,,,DDInter1083
Lomefloxacin,DRUG,DDInter,Lomefloxacin,,,,DDInter1084
Lomitapide,DRUG,DDInter,Lomitapide,,,,DDInter1085
Lomustine,DRUG,DDInter,Lomustine,,,,DDInter1086
Lonafarnib,DRUG,DDInter,Lonafarnib,,,,DDInter1087
Loperamide,DRUG,DDInter,Loperamide,,,,DDInter1088
Lopinavir,DRUG,DDInter,Lopinavir,,,,DDInter1089
Apomorphine,DRUG,DDInter,Apomorphine,,,,DDInter109
Loracarbef,DRUG,DDInter,Loracarbef,,,,DDInter1090
Loratadine,DRUG,DDInter,Loratadine,,,,DDInter1091
Lorazepam,DRUG,DDInter,Lorazepam,,,,DDInter1092
Lorcaserin,DRUG,DDInter,Lorcaserin,,,,DDInter1093
Lorlatinib,DRUG,DDInter,Lorlatinib,,,,DDInter1094
Losartan,DRUG,DDInter,Losartan,,,,DDInter1095
Loteprednol (ophthalmic),DRUG,DDInter,Loteprednol (ophthalmic),,,,DDInter1096
Loteprednol etabonate,DRUG,DDInter,Loteprednol etabonate,,,,DDInter1097
Lovastatin,DRUG,DDInter,Lovastatin,,,,DDInter1098
Loxapine,DRUG,DDInter,Loxapine,,,,DDInter1099
Acarbose,DRUG,DDInter,Acarbose,,,,DDInter11
Apraclonidine,DRUG,DDInter,Apraclonidine,,,,DDInter110
Lubiprostone,DRUG,DDInter,Lubiprostone,,,,DDInter1100
Lumacaftor,DRUG,DDInter,Lumacaftor,,,,DDInter1101
Lumateperone,DRUG,DDInter,Lumateperone,,,,DDInter1102
Lumefantrine,DRUG,DDInter,Lumefantrine,,,,DDInter1103
Lurasidone,DRUG,DDInter,Lurasidone,,,,DDInter1104
Lurbinectedin,DRUG,DDInter,Lurbinectedin,,,,DDInter1105
Lusutrombopag,DRUG,DDInter,Lusutrombopag,,,,DDInter1106
Lutein,DRUG,DDInter,Lutein,,,,DDInter1107
Lutetium Lu 177 dotatate,DRUG,DDInter,Lutetium Lu 177 dotatate,,,,DDInter1108
Lyme disease vaccine (recombinant OspA),DRUG,DDInter,Lyme disease vaccine (recombinant OspA),,,,DDInter1109
Apremilast,DRUG,DDInter,Apremilast,,,,DDInter111
Macimorelin,DRUG,DDInter,Macimorelin,,,,DDInter1110
Macitentan,DRUG,DDInter,Macitentan,,,,DDInter1111
Magaldrate,DRUG,DDInter,Magaldrate,,,,DDInter1112
Magnesium carbonate,DRUG,DDInter,Magnesium carbonate,,,,DDInter1113
Magnesium chloride,DRUG,DDInter,Magnesium chloride,,,,DDInter1114
Magnesium citrate,DRUG,DDInter,Magnesium citrate,,,,DDInter1115
Magnesium gluconate,DRUG,DDInter,Magnesium gluconate,,,,DDInter1116
Magnesium glycinate,DRUG,DDInter,Magnesium glycinate,,,,DDInter1117
Magnesium hydroxide,DRUG,DDInter,Magnesium hydroxide,,,,DDInter1118
Magnesium oxide,DRUG,DDInter,Magnesium oxide,,,,DDInter1119
Aprepitant,DRUG,DDInter,Aprepitant,,,,DDInter112
Magnesium sulfate,DRUG,DDInter,Magnesium sulfate,,,,DDInter1120
Manganese (chloride),DRUG,DDInter,Manganese (chloride),,,,DDInter1121
Manganese (sulfate),DRUG,DDInter,Manganese (sulfate),,,,DDInter1122
Mannitol,DRUG,DDInter,Mannitol,,,,DDInter1123
Maprotiline,DRUG,DDInter,Maprotiline,,,,DDInter1124
Maraviroc,DRUG,DDInter,Maraviroc,,,,DDInter1125
Mazindol,DRUG,DDInter,Mazindol,,,,DDInter1126
Measles virus vaccine live attenuated,DRUG,DDInter,Measles virus vaccine live attenuated,,,,DDInter1127
Mebendazole,DRUG,DDInter,Mebendazole,,,,DDInter1128
Mebrofenin,DRUG,DDInter,Mebrofenin,,,,DDInter1129
Aprotinin,DRUG,DDInter,Aprotinin,,,,DDInter113
Mecamylamine,DRUG,DDInter,Mecamylamine,,,,DDInter1130
Mecasermin,DRUG,DDInter,Mecasermin,,,,DDInter1131
Mecasermin rinfabate,DRUG,DDInter,Mecasermin rinfabate,,,,DDInter1132
Mechlorethamine,DRUG,DDInter,Mechlorethamine,,,,DDInter1133
Meclizine,DRUG,DDInter,Meclizine,,,,DDInter1134
Meclofenamic acid,DRUG,DDInter,Meclofenamic acid,,,,DDInter1135
Mecobalamin,DRUG,DDInter,Mecobalamin,,,,DDInter1136
Medroxyprogesterone acetate,DRUG,DDInter,Medroxyprogesterone acetate,,,,DDInter1137
Medrysone (ophthalmic),DRUG,DDInter,Medrysone (ophthalmic),,,,DDInter1138
Mefenamic acid,DRUG,DDInter,Mefenamic acid,,,,DDInter1139
Arbutamine,DRUG,DDInter,Arbutamine,,,,DDInter114
Mefloquine,DRUG,DDInter,Mefloquine,,,,DDInter1140
Megestrol acetate,DRUG,DDInter,Megestrol acetate,,,,DDInter1141
Melatonin,DRUG,DDInter,Melatonin,,,,DDInter1142
Meloxicam,DRUG,DDInter,Meloxicam,,,,DDInter1143
Melphalan,DRUG,DDInter,Melphalan,,,,DDInter1144
Melphalan flufenamide,DRUG,DDInter,Melphalan flufenamide,,,,DDInter1145
Memantine,DRUG,DDInter,Memantine,,,,DDInter1146
Meningococcal polysaccharide vaccine group C,DRUG,DDInter,Meningococcal polysaccharide vaccine group C,,,,DDInter1147
Menotropins,DRUG,DDInter,Menotropins,,,,DDInter1148
Mepenzolate,DRUG,DDInter,Mepenzolate,,,,DDInter1149
Ardeparin,DRUG,DDInter,Ardeparin,,,,DDInter115
Meperidine,DRUG,DDInter,Meperidine,,,,DDInter1150
Mephentermine,DRUG,DDInter,Mephentermine,,,,DDInter1151
Mephenytoin,DRUG,DDInter,Mephenytoin,,,,DDInter1152
Mepivacaine,DRUG,DDInter,Mepivacaine,,,,DDInter1153
Meprobamate,DRUG,DDInter,Meprobamate,,,,DDInter1154
Mepyramine,DRUG,DDInter,Mepyramine,,,,DDInter1155
Mercaptopurine,DRUG,DDInter,Mercaptopurine,,,,DDInter1156
Meropenem,DRUG,DDInter,Meropenem,,,,DDInter1157
Mesalazine,DRUG,DDInter,Mesalazine,,,,DDInter1158
Mesoridazine,DRUG,DDInter,Mesoridazine,,,,DDInter1159
Arformoterol,DRUG,DDInter,Arformoterol,,,,DDInter116
Mestranol,DRUG,DDInter,Mestranol,,,,DDInter1160
Metamfetamine,DRUG,DDInter,Metamfetamine,,,,DDInter1161
Metaraminol,DRUG,DDInter,Metaraminol,,,,DDInter1162
Metaxalone,DRUG,DDInter,Metaxalone,,,,DDInter1163
Metformin,DRUG,DDInter,Metformin,,,,DDInter1164
Methacholine,DRUG,DDInter,Methacholine,,,,DDInter1165
Methadone,DRUG,DDInter,Methadone,,,,DDInter1166
Methazolamide,DRUG,DDInter,Methazolamide,,,,DDInter1167
Methdilazine,DRUG,DDInter,Methdilazine,,,,DDInter1168
Methenamine,DRUG,DDInter,Methenamine,,,,DDInter1169
Argatroban,DRUG,DDInter,Argatroban,,,,DDInter117
Methimazole,DRUG,DDInter,Methimazole,,,,DDInter1170
Methionine,DRUG,DDInter,Methionine,,,,DDInter1171
Methocarbamol,DRUG,DDInter,Methocarbamol,,,,DDInter1172
Methohexital,DRUG,DDInter,Methohexital,,,,DDInter1173
Methotrexate,DRUG,DDInter,Methotrexate,,,,DDInter1174
Methotrimeprazine,DRUG,DDInter,Methotrimeprazine,,,,DDInter1175
Methoxamine,DRUG,DDInter,Methoxamine,,,,DDInter1176
Methoxsalen,DRUG,DDInter,Methoxsalen,,,,DDInter1177
Methoxsalen (topical),DRUG,DDInter,Methoxsalen (topical),,,,DDInter1178
Methoxyflurane,DRUG,DDInter,Methoxyflurane,,,,DDInter1179
Aripiprazole,DRUG,DDInter,Aripiprazole,,,,DDInter118
Methscopolamine,DRUG,DDInter,Methscopolamine,,,,DDInter1180
Methsuximide,DRUG,DDInter,Methsuximide,,,,DDInter1181
Methyl aminolevulinate (topical),DRUG,DDInter,Methyl aminolevulinate (topical),,,,DDInter1182
Methyl salicylate (topical),DRUG,DDInter,Methyl salicylate (topical),,,,DDInter1183
Methylcellulose,DRUG,DDInter,Methylcellulose,,,,DDInter1184
Methyldopa,DRUG,DDInter,Methyldopa,,,,DDInter1185
Methylene blue,DRUG,DDInter,Methylene blue,,,,DDInter1186
Methylergometrine,DRUG,DDInter,Methylergometrine,,,,DDInter1187
Methylnaltrexone,DRUG,DDInter,Methylnaltrexone,,,,DDInter1188
Methylphenidate,DRUG,DDInter,Methylphenidate,,,,DDInter1189
Armodafinil,DRUG,DDInter,Armodafinil,,,,DDInter119
Methylphenobarbital,DRUG,DDInter,Methylphenobarbital,,,,DDInter1190
Methylprednisolone,DRUG,DDInter,Methylprednisolone,,,,DDInter1191
Methylprednisolone (topical),DRUG,DDInter,Methylprednisolone (topical),,,,DDInter1192
Methyltestosterone,DRUG,DDInter,Methyltestosterone,,,,DDInter1193
Methysergide,DRUG,DDInter,Methysergide,,,,DDInter1194
Meticillin,DRUG,DDInter,Meticillin,,,,DDInter1195
Metipranolol (ophthalmic),DRUG,DDInter,Metipranolol (ophthalmic),,,,DDInter1196
Metoclopramide,DRUG,DDInter,Metoclopramide,,,,DDInter1197
Metocurine,DRUG,DDInter,Metocurine,,,,DDInter1198
Metolazone,DRUG,DDInter,Metolazone,,,,DDInter1199
Acebutolol,DRUG,DDInter,Acebutolol,,,,DDInter12
Arsenic trioxide,DRUG,DDInter,Arsenic trioxide,,,,DDInter120
Metoprolol,DRUG,DDInter,Metoprolol,,,,DDInter1200
Metreleptin,DRUG,DDInter,Metreleptin,,,,DDInter1201
Metronidazole,DRUG,DDInter,Metronidazole,,,,DDInter1202
Metronidazole (topical),DRUG,DDInter,Metronidazole (topical),,,,DDInter1203
Metyrapone,DRUG,DDInter,Metyrapone,,,,DDInter1204
Metyrosine,DRUG,DDInter,Metyrosine,,,,DDInter1205
Mexiletine,DRUG,DDInter,Mexiletine,,,,DDInter1206
Mezlocillin,DRUG,DDInter,Mezlocillin,,,,DDInter1207
Micafungin,DRUG,DDInter,Micafungin,,,,DDInter1208
Miconazole,DRUG,DDInter,Miconazole,,,,DDInter1209
Artemether,DRUG,DDInter,Artemether,,,,DDInter121
Miconazole (topical),DRUG,DDInter,Miconazole (topical),,,,DDInter1210
Microcrystalline cellulose,DRUG,DDInter,Microcrystalline cellulose,,,,DDInter1211
Midazolam,DRUG,DDInter,Midazolam,,,,DDInter1212
Midodrine,DRUG,DDInter,Midodrine,,,,DDInter1213
Midostaurin,DRUG,DDInter,Midostaurin,,,,DDInter1214
Mifepristone,DRUG,DDInter,Mifepristone,,,,DDInter1215
Migalastat,DRUG,DDInter,Migalastat,,,,DDInter1216
Miglitol,DRUG,DDInter,Miglitol,,,,DDInter1217
Miglustat,DRUG,DDInter,Miglustat,,,,DDInter1218
Milk thistle,DRUG,DDInter,Milk thistle,,,,DDInter1219
Artesunate,DRUG,DDInter,Artesunate,,,,DDInter122
Milnacipran,DRUG,DDInter,Milnacipran,,,,DDInter1220
Milrinone,DRUG,DDInter,Milrinone,,,,DDInter1221
Miltefosine,DRUG,DDInter,Miltefosine,,,,DDInter1222
Mineral oil,DRUG,DDInter,Mineral oil,,,,DDInter1223
