preferred_label,lookup_key,atc_link,atc4,atc4_candidates,atc_exact,atc_candidates,RXCUI,DDINTER,ddinter_similarity
Cortisone Acetato,cortisone,H02AB10,H02AB,H02AB,H02AB10,H02AB10,2878,,
Crataegus,crataegus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Crisantaspase,crisantaspase,L01XX02,L01XX,L01XX,L01XX02,L01XX02,1431738,,
Crizotinib,crizotinib,L01ED01,L01ED,L01ED,L01ED01,L01ED01,1148495,DDInter448,1.000000
Crotamitone,crotamitone,D04AX,D04AX,D04AX,D04AX,D04AX,,,
Croton Tiglium,croton tiglium,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Crovalimab,crovalimab,L04AJ07,L04AJ,L04AJ,L04AJ07,L04AJ07,2686619,,
Cuprum Aceticum,cuprum aceticum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Cuprum Metallicum,cuprum metallicum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Cuprum Sulfuricum,cuprum sulfuricum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Cyclamen Europaeum,cyclamen europaeum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Cytomegalovirus,cytomegalovirus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Dabigatran Etexilato,dabigatran etexilato,B01AE07,B01AE,B01AE,B01AE07,B01AE07,1037042,,
Dabrafenib,dabrafenib,L01EC02,L01EC,L01EC,L01EC02,L01EC02,1424911,DDInter462,1.000000
Dacarbazina,dacarbazina,L01AX04,L01AX,L01AX,L01AX04,L01AX04,3098,,
Dacomitinib,dacomitinib,L01EB07,L01EB,L01EB,L01EB07,L01EB07,2058849,DDInter465,1.000000
Dactinomicina,dactinomicina,L01DA01,L01DA,L01DA,L01DA01,L01DA01,3100,,
Dalbavancina,dalbavancina,J01XA04,J01XA,J01XA,J01XA04,J01XA04,1539239,DDInter467,0.956522
Damlecovateina,damlecovateina,J07BN04,J07BN,J07BN,J07BN04,J07BN04,,,
Damoctocog Alfa Pegol,damoctocog alfa pegol,B02BD02,B02BD,B02BD,B02BD02,B02BD02,,,
Danaparoid Sodico,danaparoid,B01AB09,B01AB,B01AB,B01AB09,B01AB09,78484,,
Danazolo,danazolo,G03XA01,G03XA,G03XA,G03XA01,G03XA01,3102,,
Danicopan,danicopan,L04AJ09,L04AJ,L04AJ,L04AJ09,L04AJ09,2678952,,
Dantrolene,dantrolene,M03CA01,M03CA,M03CA,M03CA01,M03CA01,3105,DDInter473,1.000000
Dapagliflozin,dapagliflozin,A10BK01,A10BK,A10BK,A10BK01,A10BK01,1488564,DDInter474,1.000000
Dapagliflozin Propanediolo Monoidrato,dapagliflozin propanediolo,A10BK01,A10BK,A10BK,A10BK01,A10BK01,1486966,,
Dapiprazolo Cloridrato,dapiprazolo,S01EX02,S01EX,S01EX,S01EX02,S01EX02,22298,,
Dapoxetina,dapoxetina,G04BX14,G04BX,G04BX,G04BX14,G04BX14,,,
Daptomicina,daptomicina,J01XX09,J01XX,J01XX,J01XX09,J01XX09,22299,,
Daratumumab,daratumumab,L01FC01,L01FC,L01FC,L01FC01,L01FC01,1721947,DDInter478,1.000000
Darbepoetina Alfa,darbepoetina alfa,B03XA02,B03XA,B03XA,B03XA02,B03XA02,283838,DDInter479,0.969697
Daridorexant,daridorexant,N05CJ03,N05CJ,N05CJ,N05CJ03,N05CJ03,2591497,,
Darolutamide,darolutamide,L02BB06,L02BB,L02BB,L02BB06,L02BB06,2180325,DDInter481,1.000000
Darunavir,darunavir,J05AE10,J05AE,J05AE,J05AE10,J05AE10,460132,DDInter482,1.000000
Darunavir Etanolato,darunavir etanolato,J05AE10,J05AE,J05AE,J05AE10,J05AE10,644682,,
Dasatinib,dasatinib,L01EA02,,L01EA|L01XE,,L01EA02|L01XE06,475342,DDInter484,1.000000
Datopotamab Deruxtecan,datopotamab deruxtecan,L01FX35,L01FX,L01FX,L01FX35,L01FX35,2703033,,
Datura Stramonium,datura stramonium,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Daunorubicina Cloridrato,daunorubicina,L01DB02,L01DB,L01DB,L01DB02,L01DB02,3109,DDInter485,0.960000
Decitabina,decitabina,L01BC08,L01BC,L01BC,L01BC08,L01BC08,15657,,
Deferasirox,deferasirox,V03AC03,V03AC,V03AC,V03AC03,V03AC03,614373,DDInter488,1.000000
Deferiprone,deferiprone,V03AC02,V03AC,V03AC,V03AC02,V03AC02,11645,DDInter489,1.000000
Deferoxamina Mesilato,deferoxamina,V03AC01,V03AC,V03AC,V03AC01,V03AC01,3131,,
Defibrotide,defibrotide,B01AX01,B01AX,B01AX,B01AX01,B01AX01,1311089,DDInter491,1.000000
Deflazacort,deflazacort,H02AB13,H02AB,H02AB,H02AB13,H02AB13,22396,DDInter492,1.000000
Degarelix,degarelix,L02BX02,L02BX,L02BX,L02BX02,L02BX02,475230,DDInter493,1.000000
Delafloxacina,delafloxacina,J01MA23,J01MA,J01MA,J01MA23,J01MA23,1927663,DDInter495,0.960000
Delamanid,delamanid,J04AK06,J04AK,J04AK,J04AK06,J04AK06,,,
Delgocitinib,delgocitinib,D11AH11,D11AH,D11AH,D11AH11,D11AH11,2721163,,
Delorazepam,delorazepam,N05BA,N05BA,N05BA,N05BA,N05BA,6470,,
Denosumab,denosumab,M05BX04,M05BX,M05BX,M05BX04,M05BX04,993449,DDInter500,1.000000
Depemokimab,depemokimab,R03DX12,R03DX,R03DX,R03DX12,R03DX12,2729265,,
Dequalinio Cloruro,dequalinio cloruro,R02AA02,,G01AC|R02AA,,R02AA02|G01AC05,3226,,
Dermatan Sodio Solfato,dermatan,B01AX04,B01AX,B01AX,B01AX04,B01AX04,,,
Desametasone,desametasone,H02AB02,,H02AB|S01BA|S03BA,,H02AB02|S01BA01|S03BA01,3264,,
Desametasone 21-Fosfato Disodico,desametasone 21- disodico,H02AB02,,H02AB|S01BA,,H02AB02|S01BA01,22690,,
Desclorfeniramina Maleato,desclorfeniramina,D04AA,,D04AA|R06AB,,D04AA|R06AB02,22696,,
Desflurano,desflurano,N01AB07,N01AB,N01AB,N01AB07,N01AB07,27340,,
Desloratadina,desloratadina,R06AX27,R06AX,R06AX,R06AX27,R06AX27,275635,,
Desmopressina Acetato,desmopressina,H01BA02,H01BA,H01BA,H01BA02,H01BA02,3251,DDInter507,0.960000
Desogestrel,desogestrel,G03AC09,G03AC,G03AC,G03AC09,G03AC09,22656,DDInter508,1.000000
Desossimetasone,desossimetasone,D07AC03,D07AC,D07AC,D07AC03,D07AC03,3255,,
Desossiribonucleasi,desossiribonucleasi,R05CB13,R05CB,R05CB,R05CB13,R05CB13,,,
Destrometorfano Bromidrato,destrometorfano,R05DA09,R05DA,R05DA,R05DA09,R05DA09,,,
Desvenlafaxina,desvenlafaxina,N06AX23,N06AX,N06AX,N06AX23,N06AX23,734064,,
Deucravacitinib,deucravacitinib,L04AF07,L04AF,L04AF,L04AF07,L04AF07,2612087,,
Deutetrabenazine,deutetrabenazine,N07XX16,N07XX,N07XX,N07XX16,N07XX16,1876905,DDInter512,1.000000
Dexamfetamina Solfato,dexamfetamina,N06BA02,N06BA,N06BA,N06BA02,N06BA02,3288,,
Dexibuprofene,dexibuprofene,M01AE14,M01AE,M01AE,M01AE14,M01AE14,,,
Dexketoprofene,dexketoprofene,M01AE17,M01AE,M01AE,M01AE17,M01AE17,237162,,
Dexketoprofene Sale Di Trometamolo,dexketoprofene sale di trometamolo,M01AE17,M01AE,M01AE,M01AE17,M01AE17,233386,,
Dexketoprofene Trometamolo,dexketoprofene trometamolo,M01AE17,M01AE,M01AE,M01AE17,M01AE17,233386,,
Dexmedetomidina,dexmedetomidina,N05CM18,N05CM,N05CM,N05CM18,N05CM18,48937,,
Dexpantenolo,dexpantenolo,A11HA30,A11HA,A11HA,A11HA30,A11HA30,22701,,
Dexrazoxano Cloridrato,dexrazoxano,V03AF02,V03AF,V03AF,V03AF02,V03AF02,42736,,
Bromuro Di Aclidinio,di aclidinio,R03BB05,R03BB,R03BB,R03BB05,R03BB05,1303098,,
Diacereina,diacereina,M01AX21,M01AX,M01AX,M01AX21,M01AX21,22759,,
Diazepam,diazepam,N05BA01,N05BA,N05BA,N05BA01,N05BA01,3322,DDInter534,1.000000
Diazossido,diazossido,V03AH01,V03AH,V03AH,V03AH01,V03AH01,3327,,
Dibotermina Alfa,dibotermina alfa,M05BC01,M05BC,M05BC,M05BC01,M05BC01,,,
Diclofenac,diclofenac,M02AA15,,A01AD|D11AX|M01AB|M02AA|S01BC,,M02AA15|M01AB05|D11AX18|S01BC03|A01AD11,3355,,
Diclofenac Dietilamina,diclofenac dietilamina,M02AA15,M02AA,M02AA,M02AA15,M02AA15,236125,,
Diclofenac Dietilammonio,diclofenac dietilammonio,M02AA15,M02AA,M02AA,M02AA15,M02AA15,3355,,
Diclofenac Epolamina,diclofenac epolamina,M01AB05,,M01AB|M02AA,,M01AB05|M02AA15,40968,,
Diclofenac Idrossietilpirrolidina,diclofenac idrossietilpirrolidina,M02AA15,,M01AB|M02AA,,M02AA15|M01AB05,3355,,
Didrogesterone,didrogesterone,G03DB01,G03DB,G03DB,G03DB01,G03DB01,3706,,
Dienogest,dienogest,G03DB08,G03DB,G03DB,G03DB08,G03DB08,22968,DDInter546,1.000000
Difelikefalin,difelikefalin,V03AX04,V03AX,V03AX,V03AX04,V03AX04,2569089,,
Difenidramina Cloridrato,difenidramina,D04AA32,D04AA,D04AA,D04AA32,D04AA32,,,
Diflucortolone Valerato,diflucortolone,D07AC06,D07AC,D07AC,D07AC06,D07AC06,3392,,
Diflunisal,diflunisal,N02BA11,N02BA,N02BA,N02BA11,N02BA11,3393,DDInter551,1.000000
Digitalis Purpurea,digitalis purpurea,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Digossina,digossina,C01AA05,C01AA,C01AA,C01AA05,C01AA05,3407,,
Diidrochinidina Cloridrato,diidrochinidina,C01BA13,C01BA,C01BA,C01BA13,C01BA13,,,
Diidrocodeina Rodanato,diidrocodeina rodanato,R05DA,R05DA,R05DA,R05DA,R05DA,,,
Diidroergotamina Mesilato,diidroergotamina,N02CA01,N02CA,N02CA,N02CA01,N02CA01,3418,,
Diltiazem Cloridrato,diltiazem,C08DB01,C08DB,C08DB,C08DB01,C08DB01,3443,DDInter561,1.000000
Dimenidrinato,dimenidrinato,R06AA02,,A04AD|R06AA,,R06AA02|A04AD|R06AA11,3444,,
Dimeticone,dimeticone,A03AX13,A03AX,A03AX,A03AX13,A03AX13,,,
Dimeticone Attivato,dimeticone attivato,A03AX13,A03AX,A03AX,A03AX13,A03AX13,,,
Dimetilfumarato,dimetilfumarato,L04AX07,L04AX,L04AX,L04AX07,L04AX07,1373478,,
Dimetindene,dimetindene,D04AA13,,D04AA|R06AB,,D04AA13|R06AB03,3449,,
Dinoprostone,dinoprostone,G02AD02,G02AD,G02AD,G02AD02,G02AD02,3478,DDInter567,1.000000
Dinutuximab Beta,dinutuximab beta,L01FX06,L01FX,L01FX,L01FX06,L01FX06,,,
Dioscorea Villosa,dioscorea villosa,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Diosmectite,diosmectite,A07BC05,A07BC,A07BC,A07BC05,A07BC05,,,
Diosmina,diosmina,C05CA53,C05CA,C05CA,,C05CA53|C05CA03,3489,,
Dipiridamolo,dipiridamolo,B01AC07,B01AC,B01AC,B01AC07,B01AC07,3521,,
Diroximel Fumarate,diroximel fumarate,L04AX,L04AX,L04AX,L04AX,L04AX,2261783,DDInter574,1.000000
Disopiramide,disopiramide,C01BA03,C01BA,C01BA,C01BA03,C01BA03,3541,,
Disulfiram,disulfiram,N07BB01,N07BB,N07BB,N07BB01,N07BB01,3554,DDInter576,1.000000
Dobutamina Cloridrato,dobutamina,C01CA07,C01CA,C01CA,C01CA07,C01CA07,3616,,
Docetaxel,docetaxel,L01CD02,L01CD,L01CD,L01CD02,L01CD02,72962,DDInter578,1.000000
Dolutegravir,dolutegravir,J05AJ03,J05AJ,J05AJ,J05AJ03,J05AJ03,1433868,DDInter582,1.000000
Domperidone,domperidone,A03FA03,A03FA,A03FA,A03FA03,A03FA03,3626,,
Donanemab,donanemab,N06DX05,N06DX,N06DX,N06DX05,N06DX05,2687966,,
Donepezil,donepezil,N06DA02,N06DA,N06DA,N06DA02,N06DA02,135447,DDInter583,1.000000
Donidalorsen,donidalorsen,B06AC,B06AC,B06AC,B06AC,B06AC,2724361,,
Dopamina,dopamina,C01CA04,C01CA,C01CA,C01CA04,C01CA04,3628,,
Doravirina,doravirina,J05AG06,J05AG,J05AG,J05AG06,J05AG06,2055755,,
Dorzolamide,dorzolamide,S01EC03,S01EC,S01EC,S01EC03,S01EC03,60207,DDInter588,1.000000
Dostarlimab,dostarlimab,L01FF07,L01FF,L01FF,L01FF07,L01FF07,2539967,,
Dosulepina Cloridrato,dosulepina,N06AA16,N06AA,N06AA,N06AA16,N06AA16,3634,,
Doxazosina,doxazosina,C02CA04,,C02CA|G04CA,,C02CA04|G04CA,49276,,
Doxiciclina,doxiciclina,J01AA02,J01AA,J01AA,J01AA02,J01AA02,3640,,
Doxiciclina Iclato,doxiciclina iclato,A01AB22,,A01AB|J01AA,,A01AB22|J01AA02,3640,,
Doxofillina,doxofillina,R03DA11,R03DA,R03DA,R03DA11,R03DA11,,,
Doxorubicin,doxorubicin,L01DB01,L01DB,L01DB,L01DB01,L01DB01,3639,DDInter596,1.000000
Doxorubicina,doxorubicina,L01DB01,L01DB,L01DB,L01DB01,L01DB01,3639,DDInter596,0.956522
Dronedarone,dronedarone,C01BD07,C01BD,C01BD,C01BD07,C01BD07,233698,DDInter602,1.000000
Droperidolo,droperidolo,N05AD08,N05AD,N05AD,N05AD08,N05AD08,3648,DDInter603,0.952381
Dropropizina,dropropizina,R05DB19,R05DB,R05DB,R05DB19,R05DB19,23419,,
Drosera Rotundifolia,drosera rotundifolia,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Drospirenone,drospirenone,G03AC10,G03AC,G03AC,G03AC10,G03AC10,11636,DDInter604,1.000000
Dulaglutide,dulaglutide,A10BJ05,A10BJ,A10BJ,A10BJ05,A10BJ05,1551291,DDInter607,1.000000
Dulcamara,dulcamara,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Duloxetina,duloxetina,N06AX21,N06AX,N06AX,N06AX21,N06AX21,72625,,
Dupilumab,dupilumab,D11AH05,D11AH,D11AH,D11AH05,D11AH05,1876376,DDInter609,1.000000
Durvalumab,durvalumab,L01FF03,L01FF,L01FF,L01FF03,L01FF03,1919503,DDInter610,1.000000
Dutasteride,dutasteride,G04CB02,G04CB,G04CB,G04CB02,G04CB02,228790,DDInter611,1.000000
Ebastina,ebastina,R06AX22,R06AX,R06AX,R06AX22,R06AX22,23796,,
Echinacea,echinacea,V03AX,V03AX,V03AX,V03AX,V03AX,,DDInter614,1.000000
Econazolo,econazolo,D01AC03,,D01AC|G01AF,,D01AC03|G01AF05,3743,,
Eculizumab,eculizumab,L04AJ01,L04AJ,L04AJ,L04AJ01,L04AJ01,591781,DDInter618,1.000000
Edera Foglie Estratto Secco,edera foglie estratto secco,R05CA,R05CA,R05CA,R05CA,R05CA,1309795,,
Edotreotide,edotreotide,V09IX09,V09IX,V09IX,V09IX09,V09IX09,2199392,,
Edoxaban,edoxaban,B01AF03,B01AF,B01AF,B01AF03,B01AF03,1599538,DDInter621,1.000000
Edoxaban Tosilato,edoxaban tosilato,B01AF03,B01AF,B01AF,B01AF03,B01AF03,1599538,,
Efanesoctocog Alfa,efanesoctocog alfa,B02BD02,B02BD,B02BD,B02BD02,B02BD02,,,
Efavirenz,efavirenz,J05AG03,J05AG,J05AG,J05AG03,J05AG03,195085,DDInter624,1.000000
Efbemalenograstim Alfa,efbemalenograstim alfa,L03AA18,L03AA,L03AA,L03AA18,L03AA18,2670630,,
Efedrina,efedrina,C01CA26,,C01CA|R01AB,,C01CA26|R01AB05,3966,,
Efgartigimod Alfa,efgartigimod alfa,L04AA58,L04AA,L04AA,L04AA58,L04AA58,2587717,,
Efinaconazolo,efinaconazolo,D01AC19,D01AC,D01AC,D01AC19,D01AC19,1539753,,
Eflornitina,eflornitina,D11AX16,D11AX,D11AX,D11AX16,D11AX16,569,,
Efmoroctocog Alfa,efmoroctocog alfa,B02BD02,B02BD,B02BD,B02BD02,B02BD02,,,
Eftrenonacog Alfa,eftrenonacog alfa,B02BD04,B02BD,B02BD,B02BD04,B02BD04,,,
Elacestrant Dicloridrato,elacestrant,L02BA04,L02BA,L02BA,L02BA04,L02BA04,2628469,,
Eladocagene Exuparvovec,eladocagene exuparvovec,A16AB26,A16AB,A16AB,A16AB26,A16AB26,2698762,,
Elafibranor,elafibranor,A05AX06,A05AX,A05AX,A05AX06,A05AX06,2684941,,
Elasomeran,elasomeran,J07BN01,J07BN,J07BN,J07BN01,J07BN01,2470232,,
Eletriptan,eletriptan,N02CC06,N02CC,N02CC,N02CC06,N02CC06,231049,DDInter627,1.000000
Eletriptan (Td),eletriptan (td),N02CC06,N02CC,N02CC,N02CC06,N02CC06,231049,DDInter627,1.000000
Elettroliti,elettroliti,B05BB02,,B05AX|B05BB,,B05BB02|B05AX,,,
Eliglustat Tartarato,eliglustat tartarato,A16AX10,A16AX,A16AX,A16AX10,A16AX10,1547219,,
Elinzanetant,elinzanetant,G02CX07,G02CX,G02CX,G02CX07,G02CX07,2725511,,
Elosulfase Alfa,elosulfase alfa,A16AB12,A16AB,A16AB,A16AB12,A16AB12,1489914,,
Elotuzumab,elotuzumab,L01FX08,L01FX,L01FX,L01FX08,L01FX08,1726104,DDInter630,1.000000
Elranatamab,elranatamab,L01FX32,L01FX,L01FX,L01FX32,L01FX32,2644880,,
Eltrombopag,eltrombopag,B02BX05,B02BX,B02BX,B02BX05,B02BX05,711942,DDInter631,1.000000
Eltrombopag Olamina,eltrombopag olamina,B02BX05,B02BX,B02BX,B02BX05,B02BX05,735651,,
Embrione,embrione,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Emedastina Difumarato,emedastina difumarato,S01GX06,S01GX,S01GX,S01GX06,S01GX06,221094,,
Emicizumab,emicizumab,B02BX06,B02BX,B02BX,B02BX06,B02BX06,1989794,DDInter635,1.000000
Emina,emina,B06AB01,B06AB,B06AB,B06AB01,B06AB01,,,
Empagliflozin,empagliflozin,A10BK03,A10BK,A10BK,A10BK03,A10BK03,1545653,DDInter636,1.000000
Emtricitabina,emtricitabina,J05AF09,J05AF,J05AF,J05AF09,J05AF09,276237,,
Emulsione Lipidica Per Nutrizione Parenterale,emulsione lipidica per nutrizione parenterale,B05BA10,B05BA,B05BA,B05BA10,B05BA10,,,
Enalapril,enalapril,C09AA02,,C09AA|C09BA|C09BB,,C09AA02|C09BB02|C09BA02,3827,DDInter638,1.000000
Encorafenib,encorafenib,L01EC03,L01EC,L01EC,L01EC03,L01EC03,2049106,DDInter640,1.000000
Enfortumab Vedotin,enfortumab vedotin,L01FX13,L01FX,L01FX,L01FX13,L01FX13,2277607,DDInter642,1.000000
Enfuvirtide,enfuvirtide,J05AX07,J05AX,J05AX,J05AX07,J05AX07,139896,DDInter643,1.000000
Enoxaparina,enoxaparina,B01AB05,B01AB,B01AB,B01AB05,B01AB05,67108,,
Enoximone,enoximone,C01CE03,C01CE,C01CE,C01CE03,C01CE03,49626,,
Entacapone,entacapone,N04BX02,N04BX,N04BX,N04BX02,N04BX02,60307,DDInter646,1.000000
Entecavir,entecavir,J05AF10,J05AF,J05AF,J05AF10,J05AF10,306266,DDInter647,1.000000
Entrectinib,entrectinib,L01EX14,L01EX,L01EX,L01EX14,L01EX14,2197862,DDInter648,1.000000
Enzalutamide,enzalutamide,L02BB04,L02BB,L02BB,L02BB04,L02BB04,1307298,DDInter649,1.000000
Eosina,eosina,D08AX02,D08AX,D08AX,D08AX02,D08AX02,1310593,,
Eparan Solfato,eparan,C05BA01,C05BA,C05BA,C05BA01,C05BA01,,,
Eparina Sodica,eparina,B01AB01,,B01AB|C05AA|M02AC|S01XA,,B01AB01|C05AA01|S01XA14|M02AC,5224,,
Eparina Calcica,eparina calcica,B01AB01,B01AB,B01AB,B01AB01,B01AB01,5224,,
Epcoritamab,epcoritamab,L,,,L,L,,,
Eperisone Cloridrato,eperisone,M03BX09,M03BX,M03BX,M03BX09,M03BX09,,,
Ephedra Vulgaris,ephedra vulgaris,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Epinastina Cloridrato,epinastina,S01GX10,S01GX,S01GX,S01GX10,S01GX10,39684,,
Epinefrina,epinefrina,C01CA24,C01CA,C01CA,C01CA24,C01CA24,3992,,
Epirubicina Cloridrato,epirubicina,L01DB03,L01DB,L01DB,L01DB03,L01DB03,3995,DDInter655,0.952381
Eplerenone,eplerenone,C03DA04,C03DA,C03DA,C03DA04,C03DA04,298869,DDInter656,1.000000
Eplontersen,eplontersen,N07XX21,N07XX,N07XX,N07XX21,N07XX21,2671939,,
Epoetina Alfa,epoetina alfa,B03XA01,B03XA,B03XA,B03XA01,B03XA01,,,
Epoetina Beta,epoetina beta,B03XA01,B03XA,B03XA,B03XA01,B03XA01,,,
Epoetina Teta,epoetina teta,B03XA01,B03XA,B03XA,B03XA01,B03XA01,,,
Epoetina Zeta,epoetina zeta,B03XA01,B03XA,B03XA,B03XA01,B03XA01,,,
Epoprostenolo Sodico,epoprostenolo,B01AC09,B01AC,B01AC,B01AC09,B01AC09,8814,,
Epstein-Barr Virus,epstein-barr virus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Eptacog Alfa Attivato (Fattore Vii Di Coagulazione Da Dna Ricombinante),eptacog alfa attivato (fattore vii di coagulazione da dna ricombinante),B02BD08,B02BD,B02BD,B02BD08,B02BD08,4254,,
Eptacog Beta (Attivato),eptacog beta (attivato),B02BD08,B02BD,B02BD,B02BD08,B02BD08,253149,,
Eptifibatide,eptifibatide,B01AC16,B01AC,B01AC,B01AC16,B01AC16,75635,DDInter659,1.000000
Eptinezumab,eptinezumab,N02CD05,N02CD,N02CD,N02CD05,N02CD05,2282660,,
Equisetum Arvense,equisetum arvense,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Eravaciclina,eravaciclina,J01AA13,J01AA,J01AA,J01AA13,J01AA13,2055906,,
Erdafitinib,erdafitinib,L01EN01,L01EN,L01EN,L01EN01,L01EN01,2123125,DDInter661,1.000000
Erdosteina,erdosteina,R05CB15,R05CB,R05CB,R05CB15,R05CB15,24305,,
Erenumab,erenumab,N02CD01,N02CD,N02CD,N02CD01,N02CD01,2045613,,
Eribulina,eribulina,L01XX41,L01XX,L01XX,L01XX41,L01XX41,1045453,,
Erigeron Canadensis,erigeron canadensis,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Eritromicina,eritromicina,D10AF02,D10AF,D10AF,D10AF02,D10AF02,4053,,
Eritromicina Lattobionato,eritromicina lattobionato,J01FA01,J01FA,J01FA,J01FA01,J01FA01,4053,,
Erlotinib,erlotinib,L01EB02,L01EB,L01EB,L01EB02,L01EB02,337525,DDInter667,1.000000
Ertapenem,ertapenem,J01DH03,J01DH,J01DH,J01DH03,J01DH03,325642,DDInter668,1.000000
Ertugliflozin Acido L-Piroglutammico,ertugliflozin acido l-piroglutammico,A10BK04,A10BK,A10BK,A10BK04,A10BK04,1992674,,
Esametazima,esametazima,V09AA01,V09AA,V09AA,V09AA01,V09AA01,,,
Esaminolevulinato Cloroidrato,esaminolevulinato,V04CX,V04CX,V04CX,V04CX,V04CX,,,
Escina,escina,C05CX,C05CX,C05CX,C05CX,C05CX,,,
Escitalopram,escitalopram,N06AB10,N06AB,N06AB,N06AB10,N06AB10,321988,DDInter672,1.000000
Escitalopram Ossalato,escitalopram ossalato,N06AB10,N06AB,N06AB,N06AB10,N06AB10,321988,,
Esketamina,esketamina,N06AX27,N06AX,N06AX,N06AX27,N06AX27,2119365,,
Eslicarbazepina Acetato,eslicarbazepina,N03AF04,N03AF,N03AF,N03AF04,N03AF04,1482502,,
Esmololo Cloridrato,esmololo,C07AB09,C07AB,C07AB,C07AB09,C07AB09,49737,,
Esomeprazolo,esomeprazolo,A02BC05,A02BC,A02BC,A02BC05,A02BC05,283742,,
Estazolam,estazolam,N05CD04,N05CD,N05CD,N05CD04,N05CD04,4077,DDInter677,1.000000
Estradiolo,estradiolo,G03CA03,G03CA,G03CA,G03CA03,G03CA03,4083,,
Estratto Allergenico Di Polline Di Betulla (Betula Verrucosa),estratto allergenico di polline di betulla (betula verrucosa),V01AA05,V01AA,V01AA,V01AA05,V01AA05,,,
Estratto Di Allergeni Di Polline Di Graminacee-Phleum Pratense (Codolina),estratto di allergeni di polline di graminacee-phleum pratense (codolina),V01AA02,V01AA,V01AA,V01AA02,V01AA02,,,
Estratto Di Allergeni Di Veleno Di Imenotteri - Apis Mellifera (Ape),estratto di allergeni di veleno di imenotteri - apis mellifera (ape),V01AA07,V01AA,V01AA,V01AA07,V01AA07,,,
Estratto Di Corteccia Di Betulla,estratto di corteccia di betulla,D03AX13,D03AX,D03AX,D03AX13,D03AX13,,,
Estratto Di Lavanda,estratto di lavanda,N05BX05,N05BX,N05BX,N05BX05,N05BX05,,,
Estratto Liquido Essiccato Delle Radici Di Pelargonium Sidoides,estratto liquido essiccato delle radici di pelargonium sidoides,R05X,,,R05X,R05X,,,
Estratto Secco Idroalcoolico Di Passiflora,estratto secco idroalcoolico di passiflora,N05CM,N05CM,N05CM,N05CM,N05CM,,,
Estriolo,estriolo,G03CA04,G03CA,G03CA,G03CA04,G03CA04,4094,,
Eszopiclone,eszopiclone,N05CF04,N05CF,N05CF,N05CF04,N05CF04,461016,DDInter685,1.000000
Etambutolo Cloridrato,etambutolo,J04AK02,J04AK,J04AK,J04AK02,J04AK02,4110,,
Etanercept,etanercept,L04AB01,L04AB,L04AB,L04AB01,L04AB01,214555,DDInter687,1.000000
Etelcalcetide,etelcalcetide,H05BX04,H05BX,H05BX,H05BX04,H05BX04,1876119,DDInter688,1.000000
Etilefrina Cloridrato,etilefrina,C01CA01,C01CA,C01CA,C01CA01,C01CA01,4169,,
Etizolam,etizolam,N05BA19,N05BA,N05BA,N05BA19,N05BA19,,,
Etobromuro Pipetanato,etobromuro pipetanato,A03AA,A03AA,A03AA,A03AA,A03AA,,,
Etofenamato,etofenamato,M02AA06,M02AA,M02AA,M02AA06,M02AA06,24608,,
Etonogestrel,etonogestrel,G03AC08,G03AC,G03AC,G03AC08,G03AC08,14584,DDInter701,1.000000
Etoposide,etoposide,L01CB01,L01CB,L01CB,L01CB01,L01CB01,4179,DDInter702,1.000000
Etoricoxib,etoricoxib,M01AH05,M01AH,M01AH,M01AH05,M01AH05,307296,,
Etosuccimide,etosuccimide,N03AD01,N03AD,N03AD,N03AD01,N03AD01,,,
Etranacogene Dezaparvovec,etranacogene dezaparvovec,B02BD16,B02BD,B02BD,B02BD16,B02BD16,2626727,,
Etrasimod,etrasimod,L04AE05,L04AE,L04AE,L04AE05,L04AE05,2668045,,
Etravirine,etravirine,J05AG04,J05AG,J05AG,J05AG04,J05AG04,475969,DDInter703,1.000000
Eucalyptus Globulus,eucalyptus globulus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Eupatorium Perfoliatum,eupatorium perfoliatum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Euphorbia Resinifera,euphorbia resinifera,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Euphrasia Officinalis,euphrasia officinalis,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Everolimus,everolimus,L01EG02,,L01EG|L01XE|L04AH,,L01EG02|L04AH02|L01XE10,141704,DDInter704,1.000000
Evinacumab,evinacumab,C10AX17,C10AX,C10AX,C10AX17,C10AX17,2478335,,
