preferred_label,normalized_label,ATC,atc_link
BETAMETASONE EG STADA,betametasone eg stada,H02AB01,H02AB01
BETAMETASONE L.F.M.,betametasone l.f.m.,H02AB01,H02AB01
BETAMETASONE ZENTIVA,betametasone zentiva,H02AB01,H02AB01
BETESIL,betesil,D07AC01,D07AC01
BETMIGA,betmiga,G04BD12,G04BD12
BETOPTIC,betoptic,S01ED02,S01ED02
BETTAMOUSSE,bettamousse,D07AC01,D07AC01
BEVART,bevart,N07CA01,N07CA01
BEVESPI AEROSPHERE,bevespi aerosphere,R03AL07,R03AL07
BEXAROTENE CIPLA,bexarotene cipla,L01XF03,L01XF03
BEXSERO,bexsero,J07AH09,J07AH09
BEYFORTUS,beyfortus,J06BD08,J06BD08
BEYONTTRA,beyonttra,C01EB,C01EB
BEZALIP,bezalip,C10AB02,C10AB02
BFX CR 7,bfx cr 7,V03AX,V03AX
BIALCOL MED,bialcol med,D08AJ05,D08AJ05
BIALVIZ,bialviz,S01EE03,S01EE03
BIBECFO,bibecfo,R03AK08,R03AK08
BICALUTAMIDE AHCL,bicalutamide ahcl,L02BB03,L02BB03
BICALUTAMIDE AUROBINDO,bicalutamide aurobindo,L02BB03,L02BB03
BICALUTAMIDE AUROBINDO ITALIA,bicalutamide aurobindo italia,L02BB03,L02BB03
BICALUTAMIDE DOC GENERICI,bicalutamide doc generici,L02BB03,L02BB03
BICALUTAMIDE EG,bicalutamide eg,L02BB03,L02BB03
BICALUTAMIDE EG STADA,bicalutamide eg stada,L02BB03,L02BB03
BICALUTAMIDE IBIGEN,bicalutamide ibigen,L02BB03,L02BB03
BICALUTAMIDE RATIOPHARM,bicalutamide ratiopharm,L02BB03,L02BB03
BICALUTAMIDE SUN,bicalutamide sun,L02BB03,L02BB03
BICALUTAMIDE TECNIGEN,bicalutamide tecnigen,L02BB03,L02BB03
BICALUTAMIDE TEVA,bicalutamide teva,L02BB03,L02BB03
BICAVERA,bicavera,B05DB,B05DB
BICNU,bicnu,L01AD01,L01AD01
BIDICLIN,bidiclin,A07EA07,A07EA07
BIDIEN,bidien,D07AC09,D07AC09
BIFRIL,bifril,C09AA15,C09AA15
BIFRIZIDE,bifrizide,C09BA15,C09BA15
BIJUVA,bijuva,G03FA04,G03FA04
BIKADER,bikader,L02BB03,L02BB03
BIKTARVY,biktarvy,J05AR20,J05AR20
BILASTINA AMAROX,bilastina amarox,R06AX29,R06AX29
BILASTINA AUROBINDO,bilastina aurobindo,R06AX29,R06AX29
BILASTINA DOC,bilastina doc,R06AX29,R06AX29
BILASTINA EG,bilastina eg,R06AX29,R06AX29
BILASTINA MEDREG,bilastina medreg,R06AX29,R06AX29
BILASTINA MYLAN,bilastina mylan,R06AX29,R06AX29
BILASTINA MYLAN GENERICS,bilastina mylan generics,R06AX29,R06AX29
BILASTINA PENSA,bilastina pensa,R06AX29,R06AX29
BILASTINA SANDOZ,bilastina sandoz,R06AX29,R06AX29
BILASTINA TECNIGEN,bilastina tecnigen,R06AX29,R06AX29
BILATEC,bilatec,R06AX29,R06AX29
BILDYOS,bildyos,M05BX04,M05BX04
BILPREVDA,bilprevda,M05BX04,M05BX04
BIMADOC,bimadoc,S01EE03,S01EE03
BIMANEXT,bimanext,S01EE03,S01EE03
BIMATOPROST E TIMOLOLO EG,bimatoprost e timololo eg,S01ED51,S01ED51
BIMATOPROST E TIMOLOLO MYLAN,bimatoprost e timololo mylan,S01ED51,S01ED51
BIMATOPROST E TIMOLOLO SANDOZ,bimatoprost e timololo sandoz,S01ED51,S01ED51
BIMATOPROST E TIMOLOLO TEVA,bimatoprost e timololo teva,S01ED51,S01ED51
BIMATOPROST E TIMOLOLO ZENTIVA,bimatoprost e timololo zentiva,S01ED51,S01ED51
BIMATOPROST EG,bimatoprost eg,S01EE03,S01EE03
BIMATOPROST MYLAN,bimatoprost mylan,S01EE03,S01EE03
BIMATOPROST SANDOZ GMBH,bimatoprost sandoz gmbh,S01EE03,S01EE03
BIMERVAX,bimervax,J07BN,J07BN
BIMERVAX LP.8.1,bimervax lp.8.1,J07BN04,J07BN04
BIMERVAX XBB.1.16,bimervax xbb.1.16,J07BN04,J07BN04
BIMIXIN,bimixin,A07AA51,A07AA51
BIMZELX,bimzelx,L04AC21,L04AC21
BINOCRIT,binocrit,B03XA01,B03XA01
BINOFENACT,binofenact,M01AE01,M01AE01
BINOFENKID,binofenkid,M01AE01,M01AE01
BINOFENUM,binofenum,M01AE01,M01AE01
BINOSTO,binosto,M05BA04,M05BA04
BIO PAX,bio pax,V03AX,V03AX
BIOARGININA,bioarginina,V03AB,V03AB
BIOCALCIUM D3,biocalcium d3,A12AX,A12AX
BIOCHETASI,biochetasi,A11JB,A11JB
BIODERMATIN,biodermatin,A11HA05,A11HA05
BIOGINAL,bioginal,G01AX12,G01AX12
BIORINIL,biorinil,R01AD,R01AD
BIPALEN,bipalen,D10AD53,D10AD53
BIPHOZYL,biphozyl,B05ZB,B05ZB
BIRESP SPIROMAX,biresp spiromax,R03AK07,R03AK07
BISANTIM,bisantim,S01ED51,S01ED51
BISFOLID,bisfolid,M05BA02,M05BA02
BISKUS,biskus,R03AK06,R03AK06
BISMUTHUM METALLICUM,bismuthum metallicum,V03AX,V03AX
BISMUTHUM METALLICUM DYNAMIS,bismuthum metallicum dynamis,V03AX,V03AX
BISOL TOSSE E GOLA,bisol tosse e gola,A06AC01,A06AC01
BISOLMONUS,bisolmonus,R05CB01,R05CB01
BISOLSEC,bisolsec,R05DB05,R05DB05
BISOLVON,bisolvon,R05CB02,R05CB02
BISOLVON TOSSE SEDATIVO,bisolvon tosse sedativo,R05DA09,R05DA09
BISOPROLOLO AHCL,bisoprololo ahcl,C07AB07,C07AB07
BISOPROLOLO ALMUS,bisoprololo almus,C07AB07,C07AB07
BISOPROLOLO AUROBINDO PHARMA ITALIA,bisoprololo aurobindo pharma italia,C07AB07,C07AB07
BISOPROLOLO DOC GENERICS,bisoprololo doc generics,C07AB07,C07AB07
BISOPROLOLO E IDROCLOROTIAZIDE AUROBINDO,bisoprololo e idroclorotiazide aurobindo,C07BB07,C07BB07
BISOPROLOLO E IDROCLOROTIAZIDE MYLAN GENERICS,bisoprololo e idroclorotiazide mylan generics,C07BB07,C07BB07
BISOPROLOLO EG,bisoprololo eg,C07AB07,C07AB07
BISOPROLOLO EG STADA,bisoprololo eg stada,C07AB07,C07AB07
BISOPROLOLO EG STADA ITALIA,bisoprololo eg stada italia,C07AB07,C07AB07
BISOPROLOLO KRKA,bisoprololo krka,C07AB07,C07AB07
BISOPROLOLO MYLAN,bisoprololo mylan,C07AB07,C07AB07
BISOPROLOLO PENSA,bisoprololo pensa,C07AB07,C07AB07
BISOPROLOLO PENSA PHARMA,bisoprololo pensa pharma,C07AB07,C07AB07
BISOPROLOLO SANDOZ,bisoprololo sandoz,C07AB07,C07AB07
BISOPROLOLO TECNIGEN,bisoprololo tecnigen,C07AB07,C07AB07
BISOPROLOLO TEVA,bisoprololo teva,C07AB07,C07AB07
BISOPROLOLO ZENTIVA,bisoprololo zentiva,C07AB07,C07AB07
BISOPROLOLO ZENTIVA GENERICS,bisoprololo zentiva generics,C07AB07,C07AB07
BISOPROLOLO ZENTIVA ITALIA,bisoprololo zentiva italia,C07AB07,C07AB07
BITIMAX,bitimax,S01ED51,S01ED51
BITRAPOL,bitrapol,S01ED51,S01ED51
BIVALIRUDINA ACCORD,bivalirudina accord,B01AE06,B01AE06
BIVALIRUDINA HIKMA,bivalirudina hikma,B01AE06,B01AE06
BIVIS,bivis,C09DB02,C09DB02
BIWIND,biwind,R03AL02,R03AL02
BIXON,bixon,J01DD04,J01DD04
BLAMONEHEL,blamonehel,L04AX05,L04AX05
BLENREP,blenrep,L01FX15,L01FX15
BLEOPRIM,bleoprim,L01DC01,L01DC01
BLINCYTO,blincyto,L01FX07,L01FX07
BLIXIE,blixie,N06DA02,N06DA02
BLIZOMIT,blizomit,S01ED51,S01ED51
BLOCADREN,blocadren,C07AA06,C07AA06
BLOPRESID,blopresid,C09DA06,C09DA06
BLOPRESS,blopress,C09CA06,C09CA06
BLORMAT,blormat,L02BG04,L02BG04
BLUESYX,bluesyx,V03AX,V03AX
BLUMEG,blumeg,C10AX06,C10AX06
BOCOUTURE,bocouture,M03AX01,M03AX01
BODINET,bodinet,R03BA02,R03BA02
BODIX,bodix,R03BA02,R03BA02
BOMYNTRA,bomyntra,M05BX04,M05BX04
BONASOL,bonasol,M05BA04,M05BA04
BONDRONAT,bondronat,M05BA06,M05BA06
BONJESTA,bonjesta,R06AA59,R06AA59
BONVIVA,bonviva,M05BA06,M05BA06
BOOSTRIX,boostrix,J07AJ52,J07AJ52
BORAX,borax,V03AX,V03AX
BORAX DYNAMIS,borax dynamis,V03AX,V03AX
BORGHES,borghes,C10AA07,C10AA07
BORNILENE,bornilene,R02AB,R02AB
BORTEZOMIB ACCORD,bortezomib accord,L01XG01,L01XG01
BORTEZOMIB AUROBINDO,bortezomib aurobindo,L01XG01,L01XG01
BORTEZOMIB DR. REDDY'S,bortezomib dr. reddy's,L01XG01,L01XG01
BORTEZOMIB EG,bortezomib eg,L01XG01,L01XG01
BORTEZOMIB EVER,bortezomib ever,L01XG01,L01XG01
BORTEZOMIB FRESENIUS KABI,bortezomib fresenius kabi,L01XX32|L01XG01,
BORTEZOMIB GLENMARK,bortezomib glenmark,L01XG01,L01XG01
BORTEZOMIB HIKMA,bortezomib hikma,L01XG01,L01XG01
BORTEZOMIB MEDAC,bortezomib medac,L01XG01,L01XG01
BORTEZOMIB MYLAN,bortezomib mylan,L01XG01,L01XG01
BORTEZOMIB QILU,bortezomib qilu,L01XG01,L01XG01
BORTEZOMIB SANDOZ BV,bortezomib sandoz bv,L01XG01,L01XG01
BORTEZOMIB SUN,bortezomib sun,L01XG01,L01XG01
BOSENTAN ABDI,bosentan abdi,C02KX01,C02KX01
BOSENTAN ACCORD,bosentan accord,C02KX01,C02KX01
BOSENTAN ACCORDPHARMA,bosentan accordpharma,C02KX01,C02KX01
BOSENTAN AUROBINDO,bosentan aurobindo,C02KX01,C02KX01
BOSENTAN MYLAN,bosentan mylan,C02KX01,C02KX01
BOSENTAN SUN,bosentan sun,C02KX01,C02KX01
BOSENTAN TEVA,bosentan teva,C02KX01,C02KX01
BOSIX,bosix,J01MA02,J01MA02
BOSULIF,bosulif,L01EA04,L01EA04
BOSUTINIB DR. REDDY?S,bosutinib dr. reddy?s,L01EA04,L01EA04
BOSUTINIB EG,bosutinib eg,L01EA04,L01EA04
BOSUTINIB SANDOZ,bosutinib sandoz,L01EA04,L01EA04
BOSUTINIB TEVA,bosutinib teva,L01EA04,L01EA04
BOSUTINIB ZENTIVA,bosutinib zentiva,L01EA04,L01EA04
BOTAM,botam,G04CA02,G04CA02
BOTINERO,botinero,C09BB04,C09BB04
BOTOX,botox,M03AX01,M03AX01
BOVISTA GIGANTEA,bovista gigantea,V03AX,V03AX
BRAFTOVI,braftovi,L01EC03,L01EC03
BRAMICIL,bramicil,J01GB01,J01GB01
BRAMITOB,bramitob,J01GB01,J01GB01
BRAUNOL,braunol,D08AG02,D08AG02
BREATHQUALITY-UBT,breathquality-ubt,V04CX05,V04CX05
BREINURAL,breinural,N06BX06,N06BX06
BRESTORAL,brestoral,L02BG04,L02BG04
BRETARIS GENUAIR,bretaris genuair,R03BB05,R03BB05
BREVA,breva,R03AL02,R03AL02
BREVIBLOC,brevibloc,C07AB09,C07AB09
BREXCORT,brexcort,R01AD09,R01AD09
BREXIADVANCE,brexiadvance,M02AA15,M02AA15
BREXIDOL UNIDIE,brexidol unidie,M02AA07,M02AA07
BREXIN,brexin,M01AC01,M01AC01
BREYANZI,breyanzi,L01,L01
BRIDION,bridion,V03AB35,V03AB35
BRILADONA,briladona,G03AA11,G03AA11
BRILADONA TRIFASE,briladona trifase,G03AB09,G03AB09
BRILEPS,brileps,N03AX23,N03AX23
BRILIQUE,brilique,B01AC24,B01AC24
BRILLEVE,brilleve,G03AA10,G03AA10
BRIMICA GENUAIR,brimica genuair,R03AL05,R03AL05
BRIMOCOMB,brimocomb,S01ED51,S01ED51
BRIMOFREE,brimofree,S01EA05,S01EA05
BRIMOFTAL,brimoftal,S01EA05,S01EA05
BRIMONIDINA E TIMOLOLO MYLAN,brimonidina e timololo mylan,S01ED51,S01ED51
BRIMONIDINA EG,brimonidina eg,S01EA05,S01EA05
BRIMONIDINA MYLAN GENERICS,brimonidina mylan generics,S01EA05,S01EA05
BRIMONIDINA OMNIVISION,brimonidina omnivision,S01EA05,S01EA05
BRIMONIDINA STULLN,brimonidina stulln,S01EA05,S01EA05
BRINAVESS,brinavess,C01BG11,C01BG11
BRINEURA,brineura,A16AB17,A16AB17
BRINSUPRI,brinsupri,R03,R03
BRINTELLIX,brintellix,N06AX26,N06AX26
BRINTIDOX,brintidox,S01EC54,S01EC54
BRINUS,brinus,S01EE03,S01EE03
BRINZAFLUX,brinzaflux,S01EC04,S01EC04
BRINZOLAMIDE E TIMOLOLO ACCORD,brinzolamide e timololo accord,S01EC54,S01EC54
BRINZOLAMIDE E TIMOLOLO EG,brinzolamide e timololo eg,S01EC54,S01EC54
BRINZOLAMIDE E TIMOLOLO MYLAN,brinzolamide e timololo mylan,S01EC54,S01EC54
BRINZOLAMIDE E TIMOLOLO ZENTIVA,brinzolamide e timololo zentiva,S01ED51,S01ED51
BRINZOLAMIDE EG,brinzolamide eg,S01EC04,S01EC04
BRINZOLAMIDE MYLAN,brinzolamide mylan,S01EC04,S01EC04
BRINZOLAMIDE SANDOZ,brinzolamide sandoz,S01EC04,S01EC04
BRIONEX,brionex,R03AK06,R03AK06
BRIUMVI,briumvi,L04AG14,L04AG14
BRIVARACETAM AMAROX,brivaracetam amarox,N03AX23,N03AX23
BRIVARACETAM DOC,brivaracetam doc,N03AX23,N03AX23
BRIVARACETAM EG,brivaracetam eg,N03AX23,N03AX23
BRIVARACETAM GLENMARK,brivaracetam glenmark,N03AX23,N03AX23
BRIVARACETAM PENSA,brivaracetam pensa,N03AX23,N03AX23
BRIVARACETAM SANDOZ,brivaracetam sandoz,N03AX23,N03AX23
BRIVARACETAM TEVA,brivaracetam teva,N03AX23,N03AX23
BRIVARACETAM VIVANTA,brivaracetam vivanta,N03AX23,N03AX23
BRIVIRAC,brivirac,J05AB15,J05AB15
BRIVUDINA ARISTO,brivudina aristo,J05AB15,J05AB15
BRIVUDINA DOC,brivudina doc,J05AB15,J05AB15
BROCETIL,brocetil,R05CB01,R05CB01
BROKAST,brokast,R03DC03,R03DC03
BROMAZEPAM ABC,bromazepam abc,N05BA08,N05BA08
BROMAZEPAM ACCORD,bromazepam accord,N05BA08,N05BA08
BROMAZEPAM ALMUS,bromazepam almus,N05BA08,N05BA08
BROMAZEPAM ALTER,bromazepam alter,N05BA08,N05BA08
BROMAZEPAM AUROBINDO ITALIA,bromazepam aurobindo italia,N05BA08,N05BA08
BROMAZEPAM DOC GENERICI,bromazepam doc generici,N05BA08,N05BA08
BROMAZEPAM EG,bromazepam eg,N05BA08,N05BA08
BROMAZEPAM HEXAL,bromazepam hexal,N05BA08,N05BA08
BROMAZEPAM MYLAN GENERICS ITALIA,bromazepam mylan generics italia,N05BA08,N05BA08
BROMAZEPAM PENSA,bromazepam pensa,N05BA08,N05BA08
BROMAZEPAM RATIOPHARM,bromazepam ratiopharm,N05BA08,N05BA08
BROMAZEPAM SANDOZ,bromazepam sandoz,N05BA08,N05BA08
BROMAZEPAM TECNIGEN,bromazepam tecnigen,N05BA08,N05BA08
BROMAZEPAM ZENTIVA,bromazepam zentiva,N05BA08,N05BA08
BROMEXINA PENSA,bromexina pensa,R05CB02,R05CB02
BROMOFTIL,bromoftil,S01BC11,S01BC11
BROMUM DYNAMIS,bromum dynamis,V03AX,V03AX
BRONCHENOLO GOLA,bronchenolo gola,A01AD11,A01AD11
BRONCHENOLO SEDATIVO E FLUIDIFICANTE,bronchenolo sedativo e fluidificante,R05FA02,R05FA02
BRONCHENOLO TOSSE,bronchenolo tosse,R05DA09,R05DA09
"BRONCHENOLO TOSSE, INFLUENZA E RAFFREDDORE","bronchenolo tosse, influenza e raffreddore",N02BE51,N02BE51
BRONCHICLEAR TOSSE MUCOLITICO,bronchiclear tosse mucolitico,R05CA10,R05CA10
BRONCHIPRET,bronchipret,R05,R05
BRONCHITOL,bronchitol,R05CB16,R05CB16
BRONCHO MUNAL,broncho munal,J07AX,J07AX
BRONCHO VAXOM,broncho vaxom,J07AX,J07AX
BRONCHODUAL SEDATIVO E FLUIDIFICANTE,bronchodual sedativo e fluidificante,R05CA10,R05CA10
BRONCHODUAL TOSSE E GOLA,bronchodual tosse e gola,R05CA,R05CA
BRONCOLIB,broncolib,R05CB03,R05CB03
BRONCOMNES,broncomnes,R03DA,R03DA
BRONCOPHEN TOSSE E RAFFREDDORE,broncophen tosse e raffreddore,R05X,R05X
BRONCOVALEAS,broncovaleas,R03AC02|R03CC02,
BROTIZOLAM DOC GENERICI,brotizolam doc generici,N05CD09,N05CD09
BROTIZOLAM EG,brotizolam eg,N05CD09,N05CD09
BROTIZOLAM MYLAN,brotizolam mylan,N05CD09,N05CD09
BROXO DIN,broxo din,A01AB03,A01AB03
BRUCORTEN,brucorten,H02AB07,H02AB07
BRUFEACT,brufeact,M01AE01,M01AE01
BRUFECOD,brufecod,N02AJ08,N02AJ08
BRUFEN,brufen,M01AE01,M01AE01
BRUFEN ANALGESICO,brufen analgesico,M01AE01,M01AE01
BRUFEN ANTINFIAMMATORIO LOCALE,brufen antinfiammatorio locale,M02AA06,M02AA06
BRUFEN DOLORE,brufen dolore,M01AE03,M01AE03
BRUFENKIDS FEBBRE E DOLORE,brufenkids febbre e dolore,M01AE01,M01AE01
BRUFENLIK,brufenlik,M01AE01,M01AE01
BRUFIX,brufix,R05CB06,R05CB06
BRUKINSA,brukinsa,L01EL03,L01EL03
BRUMETON COLLOIDALE,brumeton colloidale,S01CA05,S01CA05
BRUNAC,brunac,S01XA08,S01XA08
BRUNICROM,brunicrom,S01GX01,S01GX01
BRUNISTILL,brunistill,S01GX08,S01GX08
BRUNITRAV,brunitrav,S01EE04,S01EE04
BRUNIZINA,brunizina,R01AA08|S01GA01,
BRUSONEX,brusonex,R01AD09,R01AD09
BRYONIA,bryonia,V03AX,V03AX
BRYONIA ALBA,bryonia alba,V03AX,V03AX
BRYONIA ALBA DYNAMIS,bryonia alba dynamis,V03AX,V03AX
BRYONIA HEEL COMPLEX,bryonia heel complex,V03AX,V03AX
BUCCALIN,buccalin,J07AX,J07AX
BUCCOLAM,buccolam,N05CD08,N05CD08
BUDESONIDE DOC,budesonide doc,A07EA06,A07EA06
BUDESONIDE E FORMOTEROLO CIPLA,budesonide e formoterolo cipla,R03AK07,R03AK07
BUDESONIDE E FORMOTEROLO SANDOZ,budesonide e formoterolo sandoz,R03AK07,R03AK07
BUDESONIDE SANDOZ,budesonide sandoz,R03BA02,R03BA02
BUDESONIDE TEVA,budesonide teva,R03BA02,R03BA02
BUDESONIDE VIATRIS,budesonide viatris,R03BA02,R03BA02
BUDEXAN,budexan,R03BA02,R03BA02
BUDIAIR,budiair,R03BA02,R03BA02
BUDINEB,budineb,R03BA02,R03BA02
BUFANET,bufanet,R03BA02,R03BA02
BUNAMOL,bunamol,N07BC51,N07BC51
BUPICAIN,bupicain,N01BB01,N01BB01
BUPICAIN CON ADRENALINA,bupicain con adrenalina,N01BB51,N01BB51
BUPISEN,bupisen,N01BB01,N01BB01
BUPISEN CON ADRENALINA,bupisen con adrenalina,N01BB51,N01BB51
BUPIVACAINA AGUETTANT,bupivacaina aguettant,N01BB01,N01BB01
BUPIVACAINA AUROBINDO,bupivacaina aurobindo,N01BB01,N01BB01
BUPIVACAINA CLORIDRATO S.A.L.F.,bupivacaina cloridrato s.a.l.f.,N01BB01,N01BB01
BUPIVACAINA FISIOPHARMA,bupivacaina fisiopharma,N01BB01,N01BB01
BUPIVACAINA GRINDEKS,bupivacaina grindeks,N01BB01,N01BB01
BUPIVACAINA RECORDATI,bupivacaina recordati,N01BB01,N01BB01
BUPRENORFINA E NALOXONE ETHYPHARM,buprenorfina e naloxone ethypharm,N07BC51,N07BC51
BUPRENORFINA E NALOXONE G.L. PHARMA,buprenorfina e naloxone g.l. pharma,N07BC51,N07BC51
BUPRENORFINA E NALOXONE MYLAN PHARMA,buprenorfina e naloxone mylan pharma,N07BC51,N07BC51
BUPRENORFINA MOLTENI,buprenorfina molteni,N07BC01,N07BC01
BUPRENORFINA NEURAXPHARM,buprenorfina neuraxpharm,N07BC01,N07BC01
BUPRENORFINA SUN,buprenorfina sun,N07BC01,N07BC01
BUPROPIONE DOC,bupropione doc,N06AX12,N06AX12
BUPROPIONE SANDOZ,bupropione sandoz,N06AX12,N06AX12
BUPROPIONE SUN,bupropione sun,N06AX12,N06AX12
BUPROPIONE TEVA,bupropione teva,N06AX12,N06AX12
BUPROPIONE ZENTIVA,bupropione zentiva,N06AX12,N06AX12
BUPROPIONE ZENTIVA ITALIA,bupropione zentiva italia,N06AX12,N06AX12
BUSCOACTFOKUS,buscoactfokus,M01AE51,M01AE51
BUSCOFEN,buscofen,M01AE01,M01AE01
BUSCOFENACT,buscofenact,M01AE01,M01AE01
BUSCOFENPOCKET,buscofenpocket,M01AE01,M01AE01
BUSCOIBS,buscoibs,A03AX15,A03AX15
BUSCOPAN,buscopan,A03BB01,A03BB01
BUSCOPAN COMPOSITUM,buscopan compositum,A03DB04,A03DB04
BUSETALT,busetalt,N02AE01,N02AE01
BUSETTE,busette,N02AE01,N02AE01
BUSULFAN ACCORD,busulfan accord,L01AB01,L01AB01
BUSULFAN FRESENIUS KABI,busulfan fresenius kabi,L01AB01,L01AB01
BUSULFAN KOANAA,busulfan koanaa,L01AB01,L01AB01
BUSULFAN TILLOMED,busulfan tillomed,L01AB01,L01AB01
BUSULFANO TEVA,busulfano teva,L01AB01,L01AB01
BUTAPRAL,butapral,R03AL02,R03AL02
BUTILSCOPOLAMINA LIVSANE,butilscopolamina livsane,A03BB01,A03BB01
BUVIDAL,buvidal,N07BC01,N07BC01
BUXSYX,buxsyx,V03AX,V03AX
BYANNLI,byannli,N05AX13,N05AX13
BYESILOR,byesilor,A10BJ02,A10BJ02
BYETTA,byetta,A10BJ01,A10BJ01
BYFAVO,byfavo,N05CD14,N05CD14
BYLVAY,bylvay,A05AX05,A05AX05
BYOOVIZ,byooviz,S01LA04,S01LA04
BYSABEL,bysabel,R06AX29|S01GX13,
C-TARD,c-tard,A11GA01,A11GA01
CABASER,cabaser,N04BC06,N04BC06
CABAZITAXEL ACCORD,cabazitaxel accord,L01CD04,L01CD04
CABAZITAXEL DR. REDDY'S,cabazitaxel dr. reddy's,L01CD04,L01CD04
CABAZITAXEL EG,cabazitaxel eg,L01CD04,L01CD04
CABAZITAXEL EVER PHARMA,cabazitaxel ever pharma,L01CD04,L01CD04
CABAZITAXEL FRESENIUS KABI,cabazitaxel fresenius kabi,L01CD04,L01CD04
CABAZITAXEL GLENMARK,cabazitaxel glenmark,L01CD04,L01CD04
CABAZITAXEL TILLOMED,cabazitaxel tillomed,L01CD04,L01CD04
CABERGOLINA AUROBINDO,cabergolina aurobindo,G02CB03,G02CB03
CABERGOLINA DOC,cabergolina doc,G02CB03,G02CB03
CABERGOLINA RATIOPHARM,cabergolina ratiopharm,N04BC06|G02CB03,
CABERGOLINA RENATA,cabergolina renata,G02CB03,G02CB03
CABLIVI,cablivi,B01AX07,B01AX07
CABOMETYX,cabometyx,L01EX07,L01EX07
CABOZANTINIB TEVA,cabozantinib teva,L01EX07,L01EX07
CACIT,cacit,A12AA04,A12AA04
CACIT VITAMINA D3,cacit vitamina d3,A12AX,A12AX
CACTUS GRANDIFLORUS,cactus grandiflorus,V03AX,V03AX
CACTUS GRANDIFLORUS DYNAMIS,cactus grandiflorus dynamis,V03AX,V03AX
CADMIUM SULFURICUM DYNAMIS,cadmium sulfuricum dynamis,V03AX,V03AX
CADTRE,cadtre,A12AX,A12AX
CAELYX PEGYLATED LIPOSOMAL,caelyx pegylated liposomal,L01DB01,L01DB01
CAFERGOT,cafergot,N02CA52,N02CA52
CAFFEINA CITRATO MONICO,caffeina citrato monico,N06BC01,N06BC01
CALADIUM SEGUINUM,caladium seguinum,V03AX,V03AX
CALANTHA,calantha,L02BG04,L02BG04
CALBETA,calbeta,D05AX52,D05AX52
CALCAREA CARBONICA,calcarea carbonica,V03AX,V03AX
CALCAREA CARBONICA OSTREARUM,calcarea carbonica ostrearum,V03AX,V03AX
CALCAREA FLUORICA,calcarea fluorica,V03AX,V03AX
CALCAREA IODATA,calcarea iodata,V03AX,V03AX
CALCAREA PHOSPHORICA,calcarea phosphorica,V03AX,V03AX
CALCAREA SULFURICA,calcarea sulfurica,V03AX,V03AX
CALCIFOLIN,calcifolin,V03AF03,V03AF03
CALCIO CARBONATO + VITAMINA D3,calcio carbonato + vitamina d3,A12AX,A12AX
CALCIO CARBONATO E VITAMINA D3 AUROBINDO,calcio carbonato e vitamina d3 aurobindo,A12AX,A12AX
CALCIO CARBONATO E VITAMINA D3 DOC GENERICI,calcio carbonato e vitamina d3 doc generici,A12AX,A12AX
CALCIO CARBONATO EG,calcio carbonato eg,A12AA04,A12AA04
CALCIO CARBONATO VITAMINA D3 EG,calcio carbonato vitamina d3 eg,A12AX,A12AX
CALCIO CLORURO BIOINDUSTRIA L.I.M.,calcio cloruro bioindustria l.i.m.,B05XA07,B05XA07
CALCIO CLORURO GALENICA SENESE,calcio cloruro galenica senese,B05XA07,B05XA07
CALCIO CLORURO MONICO,calcio cloruro monico,B05XA07,B05XA07
CALCIO CLORURO S.A.L.F.,calcio cloruro s.a.l.f.,B05XA07,B05XA07
CALCIO E MAGNESIO CLORURO BIOINDUSTRIA L.I.M.,calcio e magnesio cloruro bioindustria l.i.m.,B05XA30,B05XA30
CALCIO E MAGNESIO CLORURO MONICO,calcio e magnesio cloruro monico,B05XA30,B05XA30
CALCIO FOLINATO SANDOZ,calcio folinato sandoz,V03AF03,V03AF03
CALCIO GLUCONATO B. BRAUN,calcio gluconato b. braun,A12AA03,A12AA03
CALCIO GLUCONATO BIOINDUSTRIA L.I.M.,calcio gluconato bioindustria l.i.m.,A12AA03,A12AA03
CALCIO GLUCONATO GALENICA SENESE,calcio gluconato galenica senese,A12AA03,A12AA03
CALCIO GLUCONATO MONICO,calcio gluconato monico,A12AA03,A12AA03
CALCIO GLUCONATO SALF,calcio gluconato salf,A12AA03,A12AA03
CALCIO LEVOFOLINATO TEVA GENERICS,calcio levofolinato teva generics,V03AF04,V03AF04
CALCIO SAVIO,calcio savio,A12AA04,A12AA04
CALCIODIE,calciodie,A12AA04,A12AA04
CALCIPARINA,calciparina,B01AB01,B01AB01
CALCIPOTRIOLO SANDOZ,calcipotriolo sandoz,D05AX02,D05AX02
CALCITRIOLO DOC GENERICI,calcitriolo doc generici,A11CC04,A11CC04
CALCITRIOLO EG,calcitriolo eg,A11CC04,A11CC04
CALCITRIOLO MYLAN GENERICS,calcitriolo mylan generics,A11CC04,A11CC04
CALCITRIOLO TEVA,calcitriolo teva,A11CC04,A11CC04
CALCIUM CARBONICUM HAHNEMANNI DYNAMIS,calcium carbonicum hahnemanni dynamis,V03AX,V03AX
CALCIUM D3 SANDOZ,calcium d3 sandoz,A12AX,A12AX
CALCIUM FLUORATUM,calcium fluoratum,V03AX,V03AX
CALCIUM FLUORATUM D12 SALE DR. SCHUSSLER N. 1,calcium fluoratum d12 sale dr. schussler n. 1,V03AX,V03AX
CALCIUM FLUORATUM DYNAMIS,calcium fluoratum dynamis,V03AX,V03AX
CALCIUM IODATUM DYNAMIS,calcium iodatum dynamis,V03AX,V03AX
