ingredient,atc4,rxcui,how
Alglucosidasi Acida Umana Ricombinante,A16AB,629565,raw
Aliskiren,C09XA,325646,raw
Alitretinoina,D11AH,81864,raw
Alizapride,A03FA,17311,raw
Allium Cepa,V03AX,,unresolved
Allopurinolo,M04AA,519,raw
Allium Sativum,V03AX,,unresolved
Almotriptan Idrogenomalato,N02CC,279645,raw
Aloe,V03AX,,unresolved
"Allergeni, Veleno Di Insetti",V01AA,,unresolved
Alogliptin,A10BH,1368001,raw
Aloperidolo Decanoato,N05AD,26420,raw
Aloperidolo,N05AD,5093,raw
Alpelisib,L01EM,2169285,raw
Alprazolam,N05BA,596,raw
Alprostadil,G04BE,598,raw
Alprostadil Alfaciclodestrina,C01EA,598,raw
Alteplasi,B01AD,8410,raw
Alumina,V03AX,,unresolved
Amantadina,N04BB,620,raw
Ambra Grisea,V03AX,,unresolved
Ambrisentan,C02KX,358274,raw
Ambroxolo,R05CB,625,raw
Ambroxolo Acefillinato,R03DA,,unresolved
Ambroxolo Cloridrato,R05CB,625,salt
Amfotericina B,J02AA,732,raw
Amfotericina B Liposomal,J02AA,732,raw
Amifampridina Fosfato,N07XX,2106338,salt
Amikacina Solfato,J01GB,641,salt
Amifampridine,N07XX,2106338,raw
Aminaftone,C05CX,,unresolved
Aminoacidi,B05BA,,unresolved
Aminofillina,R03DA,,unresolved
Aminofillina Biidrata,R03DA,,unresolved
Amiodarone,C01BD,703,raw
Amiodarone Cloridrato,C01BD,703,salt
Amisulpride,N05AL,46303,raw
Amisulpride (Td),N05AL,46303,raw
Amitriptilina,N06AA,704,raw
Amitriptilina Cloridrato,N06AA,704,salt
Amivantamab,L01FX,2549199,raw
Amlodipina,C08CA,17767,raw
Amlodipina Besilato,C08CA,17767,salt
Ammonio Solfoittiolato,D10AB,,unresolved
Ammonium Carbonicum,V03AX,,unresolved
Ammonium Muriaticum,V03AX,,unresolved
Amorolfina,D01AE,17804,raw
Amorolfina Cloridrato,D01AE,17804,salt
Amorolfine,D01AE,17804,raw
Amoxicillina,J01CA,723,raw
Amoxicillina Triidrato,J01CA,723,salt
Ampicillina,J01CA,733,raw
Ampicillina Sodica,J01CA,733,salt
Amsacrina,L01XX,739,raw
Anacardium,V03AX,,unresolved
Anagrelide (Td),L01XX,596724,raw
Anagrelide Cloridrato,L01XX,596724,salt
Anakinra,L04AC,72435,raw
Anas Barbarie Hepatis Et Cordis Extractum,V03AX,,unresolved
Anastrozolo,L02BG,84857,raw
Andexanet Alfa,V03AB,2045114,raw
Angiotensina Ii,C01CX,1999003,raw
Andusomeran,J07BN,2664725,raw
Anidulafungina,J02AX,341018,raw
Anifrolumab,L04AG,2565265,raw
Anti Cd 11,V03AX,,unresolved
Anti Cd 13,V03AX,,unresolved
Anti Cd 14,V03AX,,unresolved
Anti Cd 15,V03AX,,unresolved
Anti Cd 21,V03AX,,unresolved
Anti Cd 23,V03AX,,unresolved
Anti Cd 25,V03AX,,unresolved
Anti Cd 35,V03AX,,unresolved
Anti Cd 26,V03AX,,unresolved
Anti Cd 36,V03AX,,unresolved
Anti Cd 43,V03AX,,unresolved
Anti Cd 44,V03AX,,unresolved
Anti Cd 46,V03AX,,unresolved
Anti Cd 54,V03AX,,unresolved
Anti Cd 62,V03AX,,unresolved
Anti Cd 55,V03AX,,unresolved
Anti Cd 81,V03AX,,unresolved
Antimonium Crudum,V03AX,,unresolved
Antitrombina Iii Umana,B01AB,221062,raw
Apalutamide,L02BB,1999574,raw
Apatite,V03AX,,unresolved
Antimonium Tartaricum,V03AX,,unresolved
Antigene Di Superficie Dell''Epatite B,J07BC,,unresolved
Apis,V03AX,,unresolved
Apixaban,B01AF,1364430,raw
Apomorfina Cloridrata Emiidrata,N04BC,1043,raw
Apocynum Cannabinum,V03AX,,unresolved
Apomorfina Cloridrato,N04BC,1043,salt
Apraclonidina Cloridrato,S01EA,14845,salt
Apremilast,L04AA,1492727,raw
Aprepitant,A04AD,358255,raw
Arctium Lappa,V03AX,,unresolved
Apteni Singoli O In Miscela (Totale).,V04CL,,unresolved
Arctostaphylos Uva Ursina Foglia,G04BX,,unresolved
Argatroban,B01AE,15202,raw
Argento Proteinato,R01AX,,unresolved
Argentum Metallicum,V03AX,,unresolved
Argipressina Acetato,H01BA,1098,salt
Argentum Nitricum,V03AX,,unresolved
Aripiprazolo,N05AX,89013,raw
Arnica Essenza,M02AX,,unresolved
Arnica Montana,V03AX,,unresolved
Arnica Planta Tota,V03AX,,unresolved
Arsenicum Iodatum,V03AX,,unresolved
Arsenicum Album,V03AX,,unresolved
Artemisia Abrotanum,V03AX,,unresolved
Artemisinina,P01BE,2367409,raw
Artesunato,P01BE,18346,raw
Arum Triphyllum,V03AX,,unresolved
Asa Foetida,V03AX,,unresolved
Asarum Europaeum,V03AX,,unresolved
Asciminib,L01EA,2584304,raw
Asenapina Maleato,N05AH,784649,salt
Asfotase Alfa,A16AB,1720259,raw
Asparaginasi,L01XX,1156,raw
Asperula Odorata,V03AX,,unresolved
Atazanavir Solfato,J05AE,343047,salt
Atazanavir (Td),J05AE,343047,raw
Atenololo,C07AB,1202,raw
Atogepant,N02CD,2571813,raw
Atezolizumab,L01FF,1792776,raw
Atorvastatina,C10AA,83367,raw
Atorvastatina Calcio,C10AA,83367,salt
Atorvastatina Calcio Triidrato,C10AA,83367,salt
Atosiban Acetato,G02CX,59639,salt
Atovaquone,P01AX,60212,raw
Atracurio Besilato,M03AC,1218,salt
Aumolertinib,L01EB,,unresolved
Atropina,S01FA,1223,raw
Atropina Solfato,A03BA,1223,salt
Atropina Solfato Monoidrato,A03BA,1223,salt
Aurum Metallicum,V03AX,,unresolved
Aurum Muriaticum,V03AX,,unresolved
Aurum Muriaticum Natronatum,V03AX,,unresolved
Avacopan,L04AJ,2572100,raw
Avalglucosidasi Alfa,A16AB,2565814,raw
Avanafil,G04BE,1291301,raw
Avatrombopag,B02BX,2045726,raw
Avapritinib,L01EX,2272107,raw
Avelumab,L01FF,1875534,raw
Axicabtagene Ciloleucel,L01XL,1987398,raw
Axitinib,L01EK,1242999,raw
Azacitidina,L01BC,1251,raw
Azathioprine,L04AX,1256,raw
Azatioprina,L04AX,1256,raw
Azelastina Cloridrato,S01GX,18603,salt
Azilsartan Medoxomil,C09CA,1091642,raw
Azitromicina,J01FA,18631,raw
Azitromicina Diidrato,J01FA,18631,raw
Aztreonam,J01DF,1272,raw
Bacampicillina Cloridrato,J01CA,18687,salt
Bacillus Clausii,A07FA,,unresolved
Baclofen,M03BX,1292,raw
Baclofene,M03BX,1292,raw
Baloxavir Marboxil,J05AX,2099995,raw
"Bacillo Di Calmette-Guerin (Bcg), Ceppo Tice",L03AX,,unresolved
Bacillo Di Doederlein,G01AX,,unresolved
Balsalazide Bisodico,A07EC,18747,raw
Baptisia Tinctoria,V03AX,,unresolved
Baricitinib,L04AF,2047232,raw
Barnidipina Cloridrato,C08CA,39879,salt
Baryta Carbonica,V03AX,,unresolved
Baryta Muriatica,V03AX,,unresolved
Basiliximab,L04AC,196102,raw
Bazedoxifene Acetato,G03XC,1441386,salt
Bario Solfato,V08BA,,unresolved
Beclometasone,A07EA,1347,raw
Bedaquilina,J04AK,1364504,raw
Beclometasone Dipropionato,R03BA,1347,salt
Belantamab Mafodotin,L01FX,2387834,raw
Bcg - Bacillo Di Calmette E Guerin,L03AX,,unresolved
Belatacept,L04AA,1112973,raw
Belimumab,L04AG,1092437,raw
Belladonna,V03AX,,unresolved
Bellis Perennis,V03AX,,unresolved
Belzutifan,L01XX,2567226,raw
Bemiparina Sodica,B01AB,280611,salt
Benazepril Cloridrato,C09AA,18867,salt
Bendamustina Cloridrato,L01AA,134547,salt
Bendamustina Cloridrato Monoidrato,L01AA,134547,salt
Benralizumab,R03DX,1989100,raw
Benzalconio Cloruro,D08AJ,,unresolved
Benzalconio,S01AX,,unresolved
Benzidamina Cloridrato,R02AX,1425,salt
Benzidamina,A01AD,1425,raw
Benzoilperossido,D10AE,,unresolved
Benzilpenicillina Benzatinica,J01CE,,unresolved
Bendazac Sale Di L-Lisina,S01BC,,unresolved
Benzoperossido,D10AE,,unresolved
Benzoil Perossido,D10AE,,unresolved
Besilesomab,V09HA,,unresolved
Benzoxonio Cloruro,D08AJ,236962,raw
Berberis Aquifolium,V03AX,,unresolved
Berberis Vulgaris,V03AX,,unresolved
Berotralstat,B06AC,2467540,raw
Betaina Anidra,A16AA,,unresolved
Betaistina,N07CA,1511,raw
Betaine,A16AA,1512,raw
Betaistina Cloridrato,N07CA,1511,salt
Betaistina Dicloridrato,N07CA,1511,raw
Betametasone,D05AX,,unresolved
Betametasone Dipropionato,D07AC,1514,salt
Betametasone Sodio Fosfato,H02AB,1514,salt
Betametasone Valerato,D07AC,1514,salt
Betaxololo Cloridrato,C07AB,1520,salt
Betiatide,V09CA,,unresolved
Bevacizumab,L01FG,253337,raw
Bibrocathol,S01AX,,unresolved
Bexarotene,L01XF,233272,raw
Bezafibrato,C10AB,1525,raw
Bezlotoxumab,J06BC,1855048,raw
Bicalutamide,L02BB,83008,raw
Bifonazolo,D01AC,19295,raw
Bilastina,R06AX,,unresolved
Bimatoprost,S01EE,283810,raw
Bimekizumab,L04AC,2668041,raw
Binimetinib,L01EE,2049122,raw
Biotina,A11HA,1588,raw
Bisbutilcarboetilene,P03AX,,unresolved
Biperidene Lattato,N04AA,1589,raw
Bisacodile,A06AB,1596,raw
Biperidene,N04AA,1589,raw
Bismuthum Metallicum,V03AX,,unresolved
Bisoprololo Emifumarato,C07AB,19484,salt
Bisoprololo Fumarato,C07AB,19484,salt
Bleomicina Solfato,L01DC,1622,salt
Bivalirudina,B01AE,60819,raw
Blinatumomab,L01FX,1597258,raw
Borace,V03AX,,unresolved
Bornaprina Cloridrato,N04AA,19610,salt
Bortezomib,L01XG,358258,raw
Bosentan Monoidrato,C02KX,75207,salt
Bosentan,C02KX,75207,raw
Blu Di Metilene,V03AB,,unresolved
Bretovameran,J07BN,,unresolved
Bovista Gigantea,V03AX,,unresolved
Bosutinib,L01EA,1307619,raw
Brentuximab Vedotin,L01FX,1147320,raw
Brigatinib,L01ED,1921217,raw
Brexpiprazolo,N05AX,1658314,raw
Brinzolamide,S01EC,194881,raw
Brimonidina Tartrato,S01EA,134615,salt
Brimonidina,S01EA,134615,raw
Brivaracetam,N03AX,1739745,raw
Brivudina,J05AB,59161,raw
Brodalumab,L04AC,1872251,raw
Bromazepam,N05BA,1749,raw
Bromelina,D03BA,1752,raw
Brolucizumab,S01LA,2204915,raw
Bromexina,R05CB,1753,raw
Bromexina Cloridrato,R05CB,1753,salt
Bromfenac,S01BC,19737,raw
Bromfenac Sodico,S01BC,19737,salt
Bromocriptina,N04BC,1760,raw
Bromuro Di Aclidinio,R03BB,1303098,salt
Brotizolam,N05CD,19790,raw
Bryonia,V03AX,,unresolved
Budesonide,R03BA,19831,raw
Bulevirtide,J05AX,2743603,raw
Bupivacaina Cloridrato,N01BB,1815,salt
Bupivacaina Cloridrato Monoidrato,N01BB,1815,salt
Bupivacaina,N01BB,1815,raw
Buprenorfina,N02AE,1819,raw
Buprenorfina Cloridrato,N07BC,1819,salt
Bupropione,N06AX,42347,raw
Burosumab,M05BX,2043855,raw
Bupropione Cloridrato,N06AX,42347,salt
Busulfan,L01AB,1828,raw
Buserelin Acetato,L02AE,1825,salt
Busulfano,L01AB,1828,raw
Buxamina,N03AG,,unresolved
Butamirato Citrato,R05DB,19862,salt
"C1-Inhibitor, Plasma Derived",B06AC,809864,raw
Butilbromuro Di Joscina,A03BB,27085,salt
Cabazitaxel,L01CD,996051,raw
Cabazitaxel Monoidrato,L01CD,996051,salt
Cabergolina,N04BC,47579,raw
Cabotegravir,J05AJ,2475077,raw
Cactus Grandiflorus,V03AX,,unresolved
Cabozantinib,L01EX,1363268,raw
Cadmium Sulfuricum,V03AX,,unresolved
Caffeina Citrato,N06BC,1886,salt
Caffeine,N06BC,1886,raw
Caladium Seguinum,V03AX,,unresolved
Calcarea Carbonica,V03AX,,unresolved
Calcarea Fluorica,V03AX,,unresolved
Calcarea Phosphorica,V03AX,,unresolved
Calcarea Sulfurica,V03AX,,unresolved
Calcifediol,A11CC,1889,raw
Calcarea  Iodata,V03AX,,unresolved
Calcifediolo,A11CC,1889,raw
Calcio Carbonato,A12AA,1897,salt
Calcio,A12AA,,unresolved
Calcio Cloruro,B05XA,1901,salt
Calcio Cloruro Biidrato,B05XA,1901,salt
Calcio Cloruro Diidrato,B05XA,1901,salt
Calcio Folinato,V03AF,,unresolved
Calcio Gluconato,A12AA,1908,raw
Calcio Folinato Pentaidrato,B03BB,,unresolved
Calcio Levofolinato,V03AF,,unresolved
Calcio Mefolinato,B03BB,,unresolved
Calcio Levofolinato Idrato,V03AF,,unresolved
Calcipotriolo,D05AX,29365,raw
Calcitonin,V03AX,,unresolved
