ingredient,atc4,rxcui,how
Complesso Protrombinico Antiemofilico Umano Attivato,B02BD,,unresolved
Complesso Protrombinico Umano,B02BD,,unresolved
Concizumab,B02BX,2708333,raw
Complesso Di Coordinazione Del Citrato Ferrico,V03AE,,unresolved
Complesso Vitaminico,A11EA,,unresolved
Condroitin Sodio Solfato,M01AX,2473,salt
Condurango,V03AX,,unresolved
Conestat Alfa,B06AC,1599831,raw
Conium Maculatum,V03AX,,unresolved
Convallaria Majalis,V03AX,,unresolved
Coriogonadotropina Alfa,G03GA,283550,raw
Corifollitropina Alfa,G03GA,,unresolved
Cortisone Acetato,H02AB,2878,salt
Crataegus,V03AX,,unresolved
Crizotinib,L01ED,1148495,raw
Crisantaspase,L01XX,1431738,raw
Croton Tiglium,V03AX,,unresolved
Crotamitone,D04AX,,unresolved
Crovalimab,L04AJ,2686619,raw
Cuprum Aceticum,V03AX,,unresolved
Cuprum Metallicum,V03AX,,unresolved
Cuprum Sulfuricum,V03AX,,unresolved
Cyclamen Europaeum,V03AX,,unresolved
Cytomegalovirus,V03AX,,unresolved
Dabigatran Etexilato,B01AE,1037042,raw
Dabigatran Etexilato Mesilato,B01AE,1037042,salt
Dacarbazina,L01AX,3098,raw
Dabrafenib,L01EC,1424911,raw
Dacomitinib,L01EB,2058849,raw
Dactinomicina,L01DA,3100,raw
Dalbavancina,J01XA,1539239,raw
Damlecovateina,J07BN,,unresolved
Dalbavancina Cloridrato,J01XA,1539239,salt
Damoctocog Alfa Pegol,B02BD,,unresolved
Danazolo,G03XA,3102,raw
Danaparoid Sodico,B01AB,78484,salt
Danicopan,L04AJ,2678952,raw
Dantrolene,M03CA,3105,raw
Dantrolene Sodico,M03CA,3105,salt
Dapoxetina,G04BX,,unresolved
Dapagliflozin,A10BK,1488564,raw
Dapagliflozin Propanediolo Monoidrato,A10BK,1486966,salt
Dapiprazolo Cloridrato,S01EX,22298,salt
Daptomicina,J01XX,22299,raw
Daratumumab,L01FC,1721947,raw
Darbepoetina Alfa,B03XA,283838,raw
Daridorexant,N05CJ,2591497,raw
Darolutamide,L02BB,2180325,raw
Darunavir,J05AE,460132,raw
Darunavir Etanolato,J05AE,644682,raw
Dasatinib,L01EA,475342,raw
Datopotamab Deruxtecan,L01FX,2703033,raw
Datura Stramonium,V03AX,,unresolved
Daunorubicina Cloridrato,L01DB,3109,salt
Decitabina,L01BC,15657,raw
Deferasirox,V03AC,614373,raw
Deferiprone,V03AC,11645,raw
Deferoxamina Mesilato,V03AC,3131,salt
Deflazacort,H02AB,22396,raw
Defibrotide,B01AX,1311089,raw
Degarelix,L02BX,475230,raw
Delamanid,J04AK,,unresolved
Degarelix Acetato,L02BX,475230,salt
Delafloxacina,J01MA,1927663,raw
Delgocitinib,D11AH,2721163,raw
Delorazepam,N05BA,6470,raw
Denosumab,M05BX,993449,raw
Depemokimab,R03DX,2729265,raw
Dequalinio Cloruro,R02AA,3226,raw
Desametasone,H02AB,3264,raw
Desametasone Fosfato,H02AB,3264,salt
Desametasone 21-Fosfato Disodico,H02AB,22690,salt
Desametasone Sodio Fosfato,H02AB,3264,salt
Dermatan Sodio Solfato,B01AX,,unresolved
Desclorfeniramina Maleato,R06AB,22696,salt
Desflurano,N01AB,27340,raw
Desloratadina,R06AX,275635,raw
Desmopressina Acetato Idrato,H01BA,3251,salt
Desmopressina Acetato,H01BA,3251,salt
Desogestrel,G03AC,22656,raw
Destrometorfano Bromidrato,R05DA,,unresolved
Desossimetasone,D07AC,3255,raw
Desossiribonucleasi,R05CB,,unresolved
Dexibuprofene,M01AE,,unresolved
Desvenlafaxina,N06AX,734064,raw
Deucravacitinib,L04AF,2612087,raw
Deutetrabenazine,N07XX,1876905,raw
Dexamfetamina Solfato,N06BA,3288,salt
Dexketoprofene,M01AE,237162,raw
Dexketoprofene Sale Di Trometamolo,M01AE,233386,salt
Dexketoprofene Trometamolo,M01AE,233386,raw
Dexmedetomidina,N05CM,48937,raw
Dexmedetomidina Cloridrato,N05CM,48937,salt
Dexpantenolo,A11HA,22701,raw
Dexrazoxano Cloridrato,V03AF,42736,salt
Diacereina,M01AX,22759,raw
Diazepam,N05BA,3322,raw
Diazossido,V03AH,3327,raw
Dibotermina Alfa,M05BC,,unresolved
Diclofenac,M02AA,3355,raw
Diclofenac Dietilammonio,M02AA,3355,raw
Diclofenac Dietilamina,M02AA,236125,raw
Diclofenac Epolamina,M01AB,40968,raw
Diclofenac Idrossietilpirrolidina,M02AA,3355,raw
Diclofenac Potassico,M01AB,3355,salt
Diclofenac Sodico,M02AA,3355,salt
Didrogesterone,G03DB,3706,raw
Dienogest,G03DB,22968,raw
Difelikefalin,V03AX,2569089,raw
Difenidramina Cloridrato,D04AA,,unresolved
Diflucortolone Valerato,D07AC,3392,salt
Diflunisal,N02BA,3393,raw
Digitalis Purpurea,V03AX,,unresolved
Diidrochinidina Cloridrato,C01BA,,unresolved
Digossina,C01AA,3407,raw
Diidrocodeina Rodanato,R05DA,,unresolved
Diidroergotamina Mesilato,N02CA,3418,salt
Dimenidrinato,R06AA,3444,raw
Diltiazem Cloridrato,C08DB,3443,salt
Dimeticone,A03AX,,unresolved
Dimeticone Attivato,A03AX,,unresolved
Dimetilfumarato,L04AX,1373478,raw
Dimetindene,D04AA,3449,raw
Diosmectite,A07BC,,unresolved
Dimetindene Maleato,D04AA,3449,salt
Dinoprostone,G02AD,3478,raw
Dinutuximab Beta,L01FX,,unresolved
Dioscorea Villosa,V03AX,,unresolved
Diosmina,C05CA,3489,raw
Diroximel Fumarate,L04AX,2261783,raw
Dipiridamolo,B01AC,3521,raw
Disopiramide,C01BA,3541,raw
Disopiramide Fosfato,C01BA,3541,salt
Disulfiram,N07BB,3554,raw
Domperidone,A03FA,3626,raw
Dobutamina Cloridrato,C01CA,3616,salt
Dolutegravir,J05AJ,1433868,raw
Docetaxel,L01CD,72962,raw
Donanemab,N06DX,2687966,raw
Donepezil,N06DA,135447,raw
Donidalorsen,B06AC,2724361,raw
Donepezil Cloridrato,N06DA,135447,salt
Dopamina Cloridrato,C01CA,3628,salt
Doravirina,J05AG,2055755,raw
Dopamina,C01CA,3628,raw
Dorzolamide,S01EC,60207,raw
Dorzolamide Cloridrato,S01EC,60207,salt
Dosulepina Cloridrato,N06AA,3634,salt
Dostarlimab,L01FF,2539967,raw
Doxazosina Mesilato,C02CA,49276,salt
Doxazosina,C02CA,49276,raw
Doxiciclina,J01AA,3640,raw
Doxofillina,R03DA,,unresolved
Doxiciclina Cloridrato,J01AA,3640,salt
Doxiciclina Iclato,A01AB,3640,raw
Doxiciclina Monoidrato,J01AA,3640,salt
Doxorubicina,L01DB,3639,raw
Doxorubicin,L01DB,3639,raw
Doxorubicina Cloridrato,L01DB,3639,salt
Dronedarone,C01BD,233698,raw
Droperidolo,N05AD,3648,raw
Dropropizina,R05DB,23419,raw
Drosera Rotundifolia,V03AX,,unresolved
Drospirenone,G03AC,11636,raw
Dulaglutide,A10BJ,1551291,raw
Dulcamara,V03AX,,unresolved
Duloxetina,N06AX,72625,raw
Duloxetina Cloridrato,N06AX,72625,salt
Durvalumab,L01FF,1919503,raw
Dupilumab,D11AH,1876376,raw
Dutasteride,G04CB,228790,raw
Ebastina,R06AX,23796,raw
Echinacea,V03AX,,unresolved
Econazolo,D01AC,3743,raw
Econazolo Nitrato,D01AC,3743,salt
Eculizumab,L04AJ,591781,raw
Edera Foglie Estratto Secco,R05CA,1309795,raw
Edotreotide,V09IX,2199392,raw
Edoxaban Tosilato,B01AF,1599538,raw
Edoxaban,B01AF,1599538,raw
Efanesoctocog Alfa,B02BD,,unresolved
Efavirenz,J05AG,195085,raw
Efbemalenograstim Alfa,L03AA,2670630,raw
Efedrina,C01CA,3966,raw
Efedrina Cloridrato,C01CA,3966,salt
Efgartigimod Alfa,L04AA,2587717,raw
Efinaconazolo,D01AC,1539753,raw
Eflornitina,D11AX,569,raw
Efmoroctocog Alfa,B02BD,,unresolved
Eftrenonacog Alfa,B02BD,,unresolved
Elacestrant Dicloridrato,L02BA,2628469,raw
Eladocagene Exuparvovec,A16AB,2698762,raw
Elasomeran,J07BN,2470232,raw
Elafibranor,A05AX,2684941,raw
Eletriptan,N02CC,231049,raw
Eletriptan (Td),N02CC,231049,raw
Eletriptan Bromidrato,N02CC,231049,raw
Elinzanetant,G02CX,2725511,raw
Eliglustat Tartarato,A16AX,1547219,raw
Elettroliti,B05BB,,unresolved
Elosulfase Alfa,A16AB,1489914,raw
Elotuzumab,L01FX,1726104,raw
Embrione,V03AX,,unresolved
Elranatamab,L01FX,2644880,raw
Eltrombopag,B02BX,711942,raw
Eltrombopag Olamina,B02BX,735651,raw
Emina,B06AB,,unresolved
Emedastina Difumarato,S01GX,221094,raw
Emicizumab,B02BX,1989794,raw
Empagliflozin,A10BK,1545653,raw
Emtricitabina,J05AF,276237,raw
Emulsione Lipidica Per Nutrizione Parenterale,B05BA,,unresolved
Enalapril,C09AA,3827,raw
Enalapril Maleato,C09AA,3827,salt
Encorafenib,L01EC,2049106,raw
Enfortumab Vedotin,L01FX,2277607,raw
Enfuvirtide,J05AX,139896,raw
Enoxaparina,B01AB,67108,raw
Enoximone,C01CE,49626,raw
Enoxaparina Sodica,B01AB,67108,salt
Entacapone,N04BX,60307,raw
Entecavir,J05AF,306266,raw
Entecavir Monoidrato,J05AF,306266,salt
Entrectinib,L01EX,2197862,raw
Enzalutamide,L02BB,1307298,raw
Eosina,D08AX,1310593,raw
Eparina Calcica,B01AB,5224,raw
Eparina Sodica,B01AB,5224,salt
Ephedra Vulgaris,V03AX,,unresolved
Epinastina Cloridrato,S01GX,39684,salt
Eparan Solfato,C05BA,,unresolved
Epinefrina,C01CA,3992,raw
Epirubicina Cloridrato,L01DB,3995,salt
Eperisone Cloridrato,M03BX,,unresolved
Eplerenone,C03DA,298869,raw
Eplontersen,N07XX,2671939,raw
Epoetina Beta,B03XA,,unresolved
Epoetina Alfa,B03XA,,unresolved
Epoetina Teta,B03XA,,unresolved
Epoetina Zeta,B03XA,,unresolved
Epoprostenolo Sodico,B01AC,8814,salt
Epstein-Barr Virus,V03AX,,unresolved
Eptacog Alfa Attivato (Fattore Vii Di Coagulazione Da Dna Ricombinante),B02BD,4254,salt
Eptacog Beta (Attivato),B02BD,253149,raw
Eptifibatide,B01AC,75635,raw
Eptinezumab,N02CD,2282660,raw
Eravaciclina,J01AA,2055906,raw
Equisetum Arvense,V03AX,,unresolved
Erdafitinib,L01EN,2123125,raw
Erdosteina,R05CB,24305,raw
Erenumab,N02CD,2045613,raw
Eribulina,L01XX,1045453,raw
Erigeron Canadensis,V03AX,,unresolved
Eribulina Mesilato,L01XX,1045453,salt
Eritromicina,D10AF,4053,raw
Eritromicina Lattobionato,J01FA,4053,raw
Erlotinib,L01EB,337525,raw
Erlotinib Cloridrato,L01EB,337525,salt
Ertapenem,J01DH,325642,raw
Ertugliflozin Acido L-Piroglutammico,A10BK,1992674,raw
Ertapenem Sodico,J01DH,325642,salt
Esametazima,V09AA,,unresolved
Esaminolevulinato Cloroidrato,V04CX,,unresolved
Escina,C05CX,,unresolved
Escitalopram,N06AB,321988,raw
Escitalopram Ossalato,N06AB,321988,raw
Esketamina,N06AX,2119365,raw
Eslicarbazepina Acetato,N03AF,1482502,salt
Esmololo Cloridrato,C07AB,49737,salt
Esomeprazolo,A02BC,283742,raw
Esomeprazolo Magnesio Diidrato,A02BC,283742,raw
Esomeprazolo Magnesio Triidrato,A02BC,283742,salt
Esomeprazolo Sodico,A02BC,283742,salt
Estazolam,N05CD,4077,raw
Estradiolo Emiidrato,G03CA,4083,raw
Estradiolo,G03CA,4083,raw
Estradiolo Valerato,G03CA,4083,salt
Estratto Allergenico Di Polline Di Betulla (Betula Verrucosa),V01AA,,unresolved
Estratto Di Allergeni Di Polline Di Graminacee-Phleum Pratense (Codolina),V01AA,,unresolved
Estratto Di Allergeni Di Veleno Di Imenotteri - Apis Mellifera (Ape),V01AA,,unresolved
Estratto Di Corteccia Di Betulla,D03AX,,unresolved
Estratto Di Lavanda,N05BX,,unresolved
Estriolo,G03CA,4094,raw
Estratto Secco Idroalcoolico Di Passiflora,N05CM,,unresolved
Eszopiclone,N05CF,461016,raw
Etambutolo Cloridrato,J04AK,4110,salt
Etanercept,L04AB,214555,raw
Etelcalcetide,H05BX,1876119,raw
Etilefrina Cloridrato,C01CA,4169,salt
Etizolam,N05BA,,unresolved
Etofenamato,M02AA,24608,raw
Etobromuro Pipetanato,A03AA,,unresolved
Etosuccimide,N03AD,,unresolved
Etonogestrel,G03AC,14584,raw
Etoposide,L01CB,4179,raw
Etoricoxib,M01AH,307296,raw
Etranacogene Dezaparvovec,B02BD,2626727,raw
Etrasimod,L04AE,2668045,raw
Eucalyptus Globulus,V03AX,,unresolved
Etravirine,J05AG,475969,raw
Euphorbia Resinifera,V03AX,,unresolved
Eupatorium Perfoliatum,V03AX,,unresolved
Euphrasia Officinalis,V03AX,,unresolved
Everolimus,L01EG,141704,raw
Evinacumab,C10AX,2478335,raw
Evolocumab,C10AX,1665684,raw
Exagamglogene Autotemcel,B06AX,2671667,raw
Exemestane,L02BG,258494,raw
Exemestano,L02BG,258494,raw
Exenatide,A10BJ,60548,raw
Ezetimibe,C10AX,341248,raw
Fagopyrum Esculentum,V03AX,,unresolved
Famciclovir,J05AB,68099,raw
Famotidina,A02BA,4278,raw
Fampridina,N07XX,897018,raw
Faricimab,S01LA,2591519,raw
Fattore Di Von Willebrand,B02BD,11274,salt
Fattore Ix Della Coagulazione Umano,B02BD,,unresolved
Fattore Vii Di Coagulazione Del Sangue Umano Liofilizzato,B02BD,4254,salt
Fattore Viii,B02BD,4257,raw
Fattore Viii Della Coagulazione Del Plasma Umano,B02BD,826070,raw
Fattore Ix Di Coagulazione Del Sangue Umano Liofilizzato,B02BD,,unresolved
Fattore Viii Umano Di Coagulazione,B02BD,4257,salt
Fattore Xiii,B02BD,4271,raw
Febuxostat,M04AA,73689,raw
Fattore Viii Di Coagulazione Del Sangue Umano Liofilizzato,B02BD,,unresolved
Febuxostat Emidrato,M04AA,73689,raw
Fedratinib,L01EJ,2197490,raw
Fattore X Di Coagulazione Del Sangue,B02BD,,unresolved
Felbamato,N03AX,24812,raw
Felodipina,C08CA,4316,raw
Fenfluramina,N03AX,4328,raw
Fenilefrina Cloridrato,R01AA,8163,salt
Fenilefrina,C01CA,8163,raw
Fenilbutirrato Sodico,A16AX,,unresolved
Fenilisopropil-P-Fenilendiamina,V04CL,,unresolved
Fenitoina Sodica,N03AB,8183,salt
Fenobarbitale,N03AA,,unresolved
Fenolo,D08AE,,unresolved
Fenofibrato,C10AB,8703,raw
Fenoldopam Mesilato,C01CA,24853,salt
Fentanil,N02AB,4337,raw
Fentanil Citrato,N02AB,4337,salt
Fenobarbitale Sodico,N03AA,,unresolved
Fenticonazolo Nitrato,G01AF,24876,salt
Ferriprotinato,B03AB,,unresolved
Fentanyl,N02AB,4337,raw
Ferrisaccarato,B03AC,,unresolved
Fermenti Lattici,A07FA,,unresolved
Ferroglicinasolfato,B03AA,,unresolved
Ferro,B03AA,310325,raw
Ferro Maltobionato,B03AB,,unresolved
Ferro+++,B03AC,,unresolved
Ferro Trivalente,B03AB,,unresolved
Ferromaltoso,B03AB,,unresolved
Ferroso Gluconato,B03AA,,unresolved
Ferrum Metallicum,V03AX,,unresolved
Ferrum Phosphoricum,V03AX,,unresolved
Fesoterodina,G04BD,797195,raw
Fesoterodina Fumarato,G04BD,797195,salt
Fexofenadina,R06AX,87636,raw
Ferroso Solfato,B03AA,,unresolved
Fexofenadina Cloridrato,R06AX,87636,salt
Fibrinogeno Umano,B02BB,4385,raw
Fezolinetant,G02CX,2637134,raw
Fibrinogeno Umano Liofilizzato,B02BB,4385,raw
Filgrastim,L03AA,68442,raw
Filgotinib,L04AF,,unresolved
Fidaxomicina,A07AA,1111103,raw
Finasteride,G04CB,25025,raw
Finerenone,C03DA,2562811,raw
Fingolimod,L04AE,1012892,raw
Fitomenadione,B02BA,8308,raw
Flavoxato Cloridrato,G04BD,4440,salt
Flecainide Acetato,C01BC,4441,salt
Florbetaben (18 F),V09AX,1492940,raw
Florbetapir,V09AX,1427225,raw
Fingolimod Cloridrato,L04AA,,unresolved
Floroglucinolo,A03AX,8196,raw
Flortaucipir (18F),V09AX,2372689,raw
Flucitosina,J02AX,4451,raw
Fluciclovina (18F),V09IX,1796118,raw
Flucloxacillina Sodica,J01CF,4448,salt
Fludarabina,L01BB,24698,raw
Fluconazole,J02AC,4450,raw
Fluconazolo,J02AC,4450,raw
Flumazenil,V03AB,4457,raw
Fludarabina Fosfato,L01BB,24698,salt
Flunarizina Dicloridrato,N07CA,4459,raw
Fluodeossiglucosio,V09IX,,unresolved
Flunisolide,R03BA,25120,raw
Flunitrazepam,N05CD,4460,raw
Fluocinolone Acetonide,S02BA,4461,raw
Fluocinonide,D07AC,4462,raw
Fluodeossiglucosio (18F),V09IX,1362737,raw
Fluoresceina Sodica,S01JA,25138,salt
Fluoro-18F-Desossiglucosio,V09IX,2571853,raw
Fluorodopa (18F),V09IX,2571853,raw
Fluorometilcolina (18 F) Cloruro,V09IX,,unresolved
Fluorometolone,S01BA,4491,raw
Fluorouracile,L01BC,4492,raw
Fluorometolone Acetato,S01BA,4491,salt
Fluoxetina,N06AB,4493,raw
Fluoxetina Cloridrato,N06AB,4493,salt
Flurazepam Monocloridrato,N05CD,4501,raw
Flurbiprofene,A01AD,,unresolved
Flurbiprofene Sodico,S01BC,4502,salt
Flutamide,L02BB,4508,raw
Flutemetamolo (18F),V09AX,1486025,raw
Fluticasone,R01AD,41126,raw
Fluticasone Furoato,R01AD,41126,salt
Fluticasone Propionato,R03BA,50121,raw
Fluvastatina,C10AA,41127,raw
Fluvastatina Sodica,C10AA,41127,salt
Fluvoxamina Maleato,N06AB,42355,salt
Follitropina Alfa,G03GA,386938,raw
Follitropina Delta,G03GA,,unresolved
Follitropina Beta,G03GA,25357,raw
Fondaparinux Sodico,B01AX,321208,salt
Formoterolo Fumarato,R03AC,25255,salt
Formoterolo Fumarato Diidrato,R03AC,25255,salt
Fosaprepitant Dimeglumina,A04AD,,unresolved
Fosfatidi Diencefalici,N07XX,,unresolved
Foscarnet,J05AD,33562,raw
Foscarnet Sodico,J05AD,33562,salt
Fosfomicina Trometamolo,J01XX,4550,raw
Fosfocreatina Sodica,C01EB,,unresolved
Fosfomicina,J01XX,4550,raw
Fosfato Bipotassico,V03AX,,unresolved
Fosinopril Sodico,C09AA,50166,salt
Fostamatinib,B02BX,2044896,raw
Fostemsavir,J05AX,2380373,raw
Fraxinus Excelsior,V03AX,,unresolved
Fremanezumab,N02CD,2056691,raw
Frovatriptan,N02CC,228783,raw
Frovatriptan Succinato Monoidrato,N02CC,228783,salt
Fruquintinib,L01EK,2670179,raw
Frazione Cellulare Arricchita Di Cellule Autologhe Cd34+ Contenente Cellule Cd34+ Geneticamente Modificate Con Un Vettore Retrovirale Contenente La Sequenza Di Cdna Che Codifica Per L?Adenosina Deaminasi (Ada) Umana,L03AX,,unresolved
Frazione Fosfolipidica Da Polmone Di Suino,R07AA,,unresolved
Fucus Vesciculosus,V03AX,,unresolved
Fulvestrant,L02BA,282357,raw
Fumaria,V03AX,,unresolved
Furosemide,C03CA,4603,raw
Futibatinib,L01EN,2628190,raw
Fruttosio Difosfato Sodico,C01EB,,unresolved
Gabapentin,N02BF,25480,raw
Gabapentina,N02BF,25480,raw
Gadobutrolo,V08CA,84990,raw
Gadopiclenol,V08CA,2618720,raw
Gadodiamide,V08CA,41144,raw
Gadoteridolo,V08CA,25483,raw
Gabesato Mesilato,B02AB,,unresolved
Galantamina Bromidrato,N06DA,4637,raw
Galcanezumab,N02CD,2058846,raw
Galsulfase,A16AB,578033,raw
Ganaxolone,N03AX,2604689,raw
Ganciclovir,J05AB,4678,raw
Ganirelix,H01CC,35825,raw
Garadacimab,B06AC,2717169,raw
Gallio (67 Ga) Citrato,V09HX,272758,raw
Gefitinib,L01EB,328134,raw
Gelsemium Sempervirens,V03AX,,unresolved
Gemcitabina,L01BC,12574,raw
Gefapixant Citrato,R05DB,,unresolved
Gemcitabina Cloridrato,L01BC,12574,salt
Gemfibrozil,C10AB,4719,raw
Gemtuzumab Ozogamicin,L01FX,1294580,raw
Gentamicina,J01GB,1596450,raw
Ginepro,V03AX,,unresolved
Gentiana Lutea,V03AX,,unresolved
Gentamicina Solfato,J01GB,1596450,salt
Gilteritinib,L01EX,2105806,raw
Givinostat,M09AX,2678889,raw
Givosiran,A16AX,2265712,raw
Glicerofosforiletanolamina Monoidrata,N06BX,,unresolved
Glasdegib,L01XJ,2105845,raw
Glatiramer Acetato,L03AX,214582,salt
Glibenclamide,A10BB,4815,raw
Glicerolo,A06AX,4910,raw
Glicosaminoglicanopolisolfato,C05BA,,unresolved
Glicerolo Felbutirrato,A16AX,,unresolved
Gliclazide,A10BB,4816,raw
Glicopirronio,D11AA,1546438,raw
Glonoinum,V03AX,,unresolved
Glimepiride,A10BB,25789,raw
Glipizide,A10BB,4821,raw
Gliquidone,A10BB,25793,raw
Glofitamab,L01FX,2639782,raw
Glicopirronio Bromuro,R03BB,,unresolved
Glucagone,H04AA,4832,raw
Glucosamina Solfato Cristallina,M01AX,4845,salt
Glucosio,V04CA,,unresolved
Glucarpidasi,V03AF,1242127,raw
Glutatione Sodico,V03AB,4890,salt
Gnaphalium Polycephalum,V03AX,,unresolved
Gonadorelina,H01CA,6384,raw
Golimumab,L04AB,819300,raw
Glucosio (Destrosio) Anidro,B05BA,,unresolved
Glucosio (Destrosio) Monoidrato,B05BA,,unresolved
Gonadotropina Corionica,G03GA,340705,raw
Goserelin Acetato,L02AE,50610,salt
Gozetotide,V09IX,2588949,raw
Granisetron,A04AA,26237,raw
Granisetron Cloridrato,A04AA,26237,salt
Granisetrone Cloridrato,A04AA,26237,salt
Graphites,V03AX,,unresolved
Grindelia,V03AX,,unresolved
Grindelia Robusta,V03AX,,unresolved
Griseofulvina,D01BA,5021,raw
Guaiacum,V03AX,,unresolved
Guaifenesina,R05CA,5032,raw
Guanfacina,C02AC,40114,raw
Guselkumab,L04AC,1928588,raw
Harpagophythum Procumbens,V03AX,,unresolved
Hamamelis Virginiana,V03AX,,unresolved
Hedera Helix,V03AX,,unresolved
Hekla Lava,V03AX,,unresolved
Helleborus Niger,V03AX,,unresolved
Helonias Dioica,V03AX,,unresolved
Hepar Sulfur,V03AX,,unresolved
Herpes Simplex,V03AX,,unresolved
Herpes Zoster,V03AX,,unresolved
Humulus Lupulus,V03AX,,unresolved
Hydrastis Canadensis,V03AX,,unresolved
Hydrocotyle Asiatica,V03AX,,unresolved
Hyoscyamus Niger,V03AX,,unresolved
Hypericum Perforatum,V03AX,,unresolved
Ibandronato Sodico Monoidrato,M05BA,115264,salt
Ibopamina Cloridrato,S01FB,51253,salt
Ibritumomab Tiuxetano,V10XX,,unresolved
Ibrutinib,L01EL,1442981,raw
Ibuprofen,M01AE,5640,raw
Ibuprofene,M01AE,5640,raw
Ibuprofene Sale Di Arginina,M01AE,5640,salt
Ibuprofene Sodico,M01AE,5640,salt
Ibuprofene Sale Di Lisina,M02AA,5640,salt
Ibuprofene Isobutanolammonio,G02CC,5640,raw
Ibuprofene Sodico Diidrato,M01AE,5640,salt
Ibutilide,C01BD,41289,raw
Icatibant,B06AC,1148138,raw
Icatibant Acetate,B06AC,1294605,raw
Icosapent Etile,C10AX,,unresolved
Idarubicina Cloridrato,L01DB,5650,salt
Idebenone,N06BX,51296,raw
Idarucizumab,V03AB,1716191,raw
Idecabtagene Vicleucel,L01XL,2536430,raw
Idelalisib,L01EM,1544460,raw
Idroclorotiazide,C09BA,,unresolved
Idrocortisone,H02AB,5492,raw
Idrocortisone Acetato,D07AA,5492,salt
Idrocortisone Butirrato,D07AB,5492,raw
Idrossicarbamide,L01XX,,unresolved
Idrocortisone Sodio Fosfato,S01BA,5492,salt
Idrossiclorochina,P01BA,,unresolved
Idrocortisone Sodio Succinato,H02AB,5492,salt
Idromorfone,N02AA,3423,raw
Idromorfone Cloridrato,N02AA,3423,salt
Idrossocobalamina,V03AB,,unresolved
Idrossizina Cloridrato,N05BB,5553,salt
Idrossizina,N05BB,5553,raw
Idrossizina Dicloridrato,N05BB,5553,raw
Idroxizina Dicloridrato,N05BB,,unresolved
Idrossiclorochina Solfato,P01BA,,unresolved
Idroxicarbamide,L01XX,5552,raw
Idursulfase,A16AB,644101,raw
Idroxocobalamina,B03BA,5514,raw
Ifosfamide,L01AA,5657,raw
Ignatia,V03AX,,unresolved
Iloprost,B01AC,40138,raw
Iloprost Sale Di Trometamolo,B01AC,40138,salt
Imatinib,L01EA,282388,raw
Imatinib (Td),L01EA,282388,raw
Imatinib Mesilato,L01EA,282388,salt
Imetelstat,L01XX,2685236,raw
Imiglucerasi,A16AB,84959,raw
Imipenem + Cilastatina,J01DH,34482,raw
Imlifidase,L04AA,,unresolved
Imiquimod,D06BB,59943,raw
Imlunestrant,L02BA,,unresolved
Immunoglobulina A Umana,J06BB,,unresolved
"Immunoglobulina Anti-Linfociti T Per Uso Umano, Equina",L04AA,107044,raw
Immunoglobulina Di Coniglio Anti-Linfociti T Umani,L04AA,107044,salt
Immunoglobulina Umana Antiepatite B,J06BB,26744,raw
Immunoglobulina Umana Anti-D,J06BB,35465,raw
Immunoglobulina Umana Antitetanica,J06BB,,unresolved
Immunoglobulina Umana Normale,J06BA,,unresolved
Immunoglobulina Umana Normale Per Uso Endovenoso,J06BA,,unresolved
Immunoglobulina Di Coniglio Antitimociti Umani,L04AA,,unresolved
Immunoglobulina Umana Uso Endovenoso,J06BA,,unresolved
Immunoglobulina Umana Rh0,J06BB,35465,raw
Indacaterolo,R03AC,1114326,raw
Inclisiran,C10AX,2588243,raw
Indapamide Emidrato,C03BA,5764,raw
Indapamide,C03BA,5764,raw
Indio (111In) Ossina,V09HB,,unresolved
Indio (111In) Dtpa,V09AX,,unresolved
Indobufene,B01AC,27518,raw
Indometacina,S01BC,5781,raw
Inebilizumab,L04AG,2373951,raw
Indometacina Sale Di Meglumina,M01AB,5781,salt
"Influenza, Inactivated, Split Virus Or Surface Antigen",J07BB,,unresolved
Infliximab,L04AB,191831,raw
Inibitore Dell''Alfa1-Proteinasi Umano,B02AB,535,raw
Inibitore Umano C1-Esterasi,B06AC,1599832,raw
Inotuzumab Ozogamicin,L01FB,1942950,raw
Inotersen,N07XX,2099289,raw
Insulina Degludec,A10AE,1670007,raw
Insulina Aspart,A10AB,51428,raw
Insulina Detemir,A10AE,139825,raw
Insulina Glargine,A10AE,274783,raw
Insulina Icodec,A10AE,2740394,raw
Insulina Glulisina,A10AB,400008,raw
Insulina Umana,A10AB,253182,raw
Insulina Lispro,A10AB,86009,raw
Interferone Alfa-2A Pegilato,L03AB,5879,raw
Interferone Beta 1A Ricombinante,L03AB,75917,raw
Interferone Beta 1B,L03AB,72257,raw
Interferone Beta-1A,L03AB,75917,raw
Interleuchina 2,V03AX,,unresolved
Iobenguano,V09IX,14448,raw
Interferone Gamma 1B,L03AB,,unresolved
Iobenguano (123I),V09IX,1426748,raw
Iodio,V08AB,,unresolved
Iobitridolo,V08AB,87639,raw
Iodum,V03AX,,unresolved
Ioexolo,V08AB,,unresolved
Iodio Ioflupano-123I,V09AB,1426874,raw
Iodixanolo,V08AB,27729,raw
Iodopovidone,D08AG,8611,raw
Ioflupane (123I),V09AB,1426874,raw
Iomeprolo,V08AB,2606484,raw
Iopamidolo,V08AB,5966,raw
Ioversolo,V08AB,27792,raw
Ipeca,V03AX,,unresolved
Iperico Estratto Secco,N06AX,,unresolved
Ipilimumab,L01FX,1094833,raw
Ippocastano Semi,C05CX,,unresolved
