preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
CHELIDONIUM MAJUS/CALCIO CARBONATO/MAGNESIA MURIATICA/GLICERINA FENICA/KALIUM CARBONICUM/NUX VOMICA/LYCOPODIUM CLAVATUM/PODOPHYLLUM PELTATUM,DRUG,AIFA anagrafica farmaci,CHELIDONIUM MAJUS/CALCIO CARBONATO/MAGNESIA MURIATICA/GLICERINA FENICA/KALIUM CARBONICUM/NUX VOMICA/LYCOPODIUM CLAVATUM/PODOPHYLLUM PELTATUM,052117013,V03AX,,
CHELIDONIUM MAJUS/LYCOPODIUM CLAVATUM/CARDO MARIANO FRUTTO (Silybum Marianum L.GAERTNER) ESTRATTO SECCO,DRUG,AIFA anagrafica farmaci,CHELIDONIUM MAJUS/LYCOPODIUM CLAVATUM/CARDO MARIANO FRUTTO (Silybum Marianum L.GAERTNER) ESTRATTO SECCO,050388014|050388026,V03AX,,
CHELIDONIUM MAJUS/LYCOPODIUM CLAVATUM/TARAXACUM OFFICINALE,DRUG,AIFA anagrafica farmaci,CHELIDONIUM MAJUS/LYCOPODIUM CLAVATUM/TARAXACUM OFFICINALE,047177011|047177023,V03AX,,
CHELIDONIUM MAJUS/ROSMARINUS OFFICINALIS,DRUG,AIFA anagrafica farmaci,CHELIDONIUM MAJUS/ROSMARINUS OFFICINALIS,046552016,V03AX,,
CHELIDONIUMPLUS (SYNERGIPLUS N.512),DRUG,AIFA anagrafica farmaci,CHELIDONIUMPLUS (SYNERGIPLUS N.512),050078017,V03AX,,
CHELISYX N,DRUG,AIFA anagrafica farmaci,CHELISYX N,050388014|050388026,V03AX,,
CHEMACIN,DRUG,AIFA anagrafica farmaci,CHEMACIN,025513033|025513045,J01GB06,,
CHEMICETINA,DRUG,AIFA anagrafica farmaci,CHEMICETINA,002866174|002866186,G01AA|G01AA05,,
CHENPEN,DRUG,AIFA anagrafica farmaci,CHENPEN,040864011|040864023|040864035|040864047|040864050|040864062,C01CA24,,
CHEROS,DRUG,AIFA anagrafica farmaci,CHEROS,046552016,V03AX,,
CHETOCAINA CLORIDRATO,DRUG,AIFA anagrafica farmaci,CHETOCAINA CLORIDRATO,021925019|021925045|021925060,C05AA10,,
CHETOTIFENE MYLAN GENERICS,DRUG,AIFA anagrafica farmaci,CHETOTIFENE MYLAN GENERICS,033799038,R06AX17,,
CHIARIDOXINA,DRUG,AIFA anagrafica farmaci,CHIARIDOXINA,037247057|037247069,C02CA04,,
CHIARO,DRUG,AIFA anagrafica farmaci,CHIARO,035319019,B01AC05,,
CHIMAPHILA UMBELLATA,DRUG,AIFA anagrafica farmaci,CHIMAPHILA UMBELLATA,047166018|048324014|048711016|048711028|048711030|048711042|048711055|048711067|048711079|048711081|048711093|048711105|048711117|048711129|048711131|048711143|048711156|048711168|048711170|048711182|048711194|048711206|048711218|048711220|048711232|048711244|048711257|048711269|048711271|048711283|048711295|048711307|048711319|048711321|048711333|048711345|048711358|048711360|048711372|048711384|048711396|048711408|048711410|048711422|048711434|048711446|048711459|048711461|048711473|048711485|048711497|048711509|048711511|048711523|048711535|048711547|048711550|048711562|048711574|048711586|048711598|048711600|048711612|048711624|048711636|048711648|048711651|048711663|048711675|048711687|048711699|048711701|048711713|048711725|048711737|048711749|048711752|048711764|048711776|048711788|048711790|048711802|048711814|048711826|048711838|048711840|048711853|048711865|048711877|048711889|048711891|048711903|048711915|048711927|048711939|048711941|048711954|048711966|048711978|048711980|048711992|048712018|048712020|048712032|048712044|048712057|048712069|048712071|048712083|048712095|048712107|048712119|048712121|048712133|048712145|048712158|048712160|048712172|048712184|048712196|048712208|048712210,V03AX,,
CHIMAPHILA VIS-HP,DRUG,AIFA anagrafica farmaci,CHIMAPHILA VIS-HP,049415019,V03AX,,
CHIMAPLUS (SYNERGIPLUS N.701),DRUG,AIFA anagrafica farmaci,CHIMAPLUS (SYNERGIPLUS N.701),048324014,V03AX,,
CHINA,DRUG,AIFA anagrafica farmaci,CHINA,046136014|046157018|046158010|046158022|046158034|046158046|046158059|046158061|046158073|046158085|046158097|046158109|046158111|046158123|046158135|046158147|046158150|046158162|046158174|046158186|046158198|046158200|046158212|046158224|046158236|046158248|046158251|046158263|046158275|046158287|046158299|046158301|046158313|046158325|046158337|046158349|046158352|046158364|046158376|046158388|046158390|046158402|046158414|046158426|046158438|046158440|046158453|046158465|046158477|046158489|046158491|046158503|046158515|046158527|046158539|046158541|046158554|046158566|046158578|046158580|046158592|046158604|046158616|046158628|046158630|046158642|046158655|046158667|046158679|046158693|046158705|046158717|046158729|046158731|046158743|046158756|046158768|046158770|046158782|046158794|046158806|046158818|046158820|046158832|046158844|046158857|046158869|046158871|046158883|046158895|046158907|046158919|046158921|046158933|046158945|046158958|046158960|046158972|046158984|046158996|046161016|046161028|046161030|046161042|046161055|046161067|046161079|046161081|046161093|046161105|046161117|046161129|046161131|046161143|046161156|046161168|046161170|046161182|046161194|046161206|046161218|046161220|046161232|046161244|046161257|046161269|046161271|046161283|046161295|046161307|046161319|046161321|046161333|046161345|046161358|046161360|046161372|046161384|046161396|046161408|046161410|046161422|046209019|046209021|046209033|046209045|046209058|046209060|046209072|046209084|046209096|046209108|046209110|046209122|046209134|046209146|046209159|046209161|046209173|046209185|046209197|046209209|046209211|046209223|046209235|046209247|046209250|046209262|046209274|046209286|046209298|046209300|046209312|046209324|046209336|046209348|046209351|046209363|046209375|046209387|046209399|046209401|046209413|046209425|046209437|046209449|046209452|046209464|046209476|046209488|046209490|046209502|046209514|046209526|046209538|046209540|046209553|046209565|046209577|046209589|046209591|046209603|046209615|046209627|046209639|046209641|046209654|046209666|046209678|046209680|046209692|046209704|046209716|046376012|046448015|046523015|046591018|046593012|046593024|046593036|046593048|046593051|046593063|046593075|046593087|046593099|046593101|047097011|047285010|047607015|048037016|048037028|048037030|048037042|048037055|048037067|048037079|048037081|048037093|048037105|048037117|048037129|048037131|048037143|048037156|048037168|048037170|048037182|048037194|048037206|048037218|048037220|048037232|048037244|048037257|048037269|048037271|048037283|048037295|048037307|048037319|048037321|048037333|048037345|048037358|048037360|048037372|048037384|048037396|048037408|048037410|048037422|048037434|048037446|048037459|048037461|048037473|048037485|048037497|048037509|048037511|048037523|048037535|048037547|048037550|048037562|048037574|048043018|048043020|048043032|048043044|048043057|048043069|048043071|048043083|048043095|048043107|048043119|048043121|048043133|048043145|048043158|048043160|048043172|048043184|048043196|048043208|048043210|048043222|048043234|048043246|048043259|048043261|048043273|048043285|048043297|048043309|048043311|048043323|048043335|048043347|048043350|048043362|048043374|048043386|048043398|048043400|048043412|048043424|048043436|048043448|048043451|048043463|048043475|048043487|048043499|048043501|048043513|048043525|048043537|048043549|048043552|048043564|048043576|048043588|048043590|048043602|048043614|048043626|048043638|048043640|048043653|048043665|048043677|048043689|048043691|048043703|048043715|048043727|048043739|048043741|048043754|048043766|048043778|048043780|048043792|048043804|048043816|048043828|048043830|048043842|048043855|048043867|048043879|048043881|048043893|048043905|048043917|048043929|048043931|048043943|048043956|048043968|048043970|048043982|048043994|048044010|048044022|048044034|048044046|048044059|048044061|048044073|048044085|048044097|048044109|048044111|048044123|048044135|048044147|048044150|048044162|048044174|048044186|048044198|048044200|048044212|048044224|048044236|048044248|048044251|048044263|048044275|048044287|048044299|048044301|048044313|048044325|048044337|048044349|048044352|048044364|048044376|048044388|048044390|048044402|048044414|048044426|048044438|048044440|048044453|048044465|048044477|048044489|048044491|048044503|048044515|048044527|048044539|048044541|048044554|048044566|048044578|048044580|048044592|048044604|048044616|048044628|048044630|048044642|048044655|048044667|048044679|048044681|048044693|048044705|048044717|048044729|048044731|048044743|048044756|048044768|048044770|048044782|048044794|048044806|048044818|048044820|048044832|048044844|048044857|048044869|048044871|048044883|048044895|048044907|048044919|048044921|048044933|048044945|048044958|048044960|048044972|048044984|048044996|048045013|048045025|048045037|048045049|048045052|048045064|048045076|048045088|048045090|048045102|048045114|048045126|048045138|048045140|048045153|048045165|048045177|048045189|048045191|048045203|048045215|048045227|048045239|048045241|048045254|048045266|048045278|048045280|048045292|048045304|048045316|048045328|050888015|052078019,V03AX,,
CHINA HOMEO SAPIENS COMP,DRUG,AIFA anagrafica farmaci,CHINA HOMEO SAPIENS COMP,052078019,V03AX,,
CHINA REGIA,DRUG,AIFA anagrafica farmaci,CHINA REGIA,046209019|046209021|046209033|046209045|046209058|046209060|046209072|046209084|046209096|046209108|046209110|046209122|046209134|046209146|046209159|046209161|046209173|046209185|046209197|046209209|046209211|046209223|046209235|046209247|046209250|046209262|046209274|046209286|046209298|046209300|046209312|046209324|046209336|046209348|046209351|046209363|046209375|046209387|046209399|046209401|046209413|046209425|046209437|046209449|046209452|046209464|046209476|046209488|046209490|046209502|046209514|046209526|046209538|046209540|046209553|046209565|046209577|046209589|046209591|046209603|046209615|046209627|046209639|046209641|046209654|046209666|046209678|046209680|046209692|046209704|046209716|046593012|046593024|046593036|046593048|046593051|046593063|046593075|046593087|046593099|046593101,V03AX,,
CHINA REGIA DYNAMIS,DRUG,AIFA anagrafica farmaci,CHINA REGIA DYNAMIS,048043018|048043020|048043032|048043044|048043057|048043069|048043071|048043083|048043095|048043107|048043119|048043121|048043133|048043145|048043158|048043160|048043172|048043184|048043196|048043208|048043210|048043222|048043234|048043246|048043259|048043261|048043273|048043285|048043297|048043309|048043311|048043323|048043335|048043347|048043350|048043362|048043374|048043386|048043398|048043400|048043412|048043424|048043436|048043448|048043451|048043463|048043475|048043487|048043499|048043501|048043513|048043525|048043537|048043549|048043552|048043564|048043576|048043588|048043590|048043602|048043614|048043626|048043638|048043640|048043653|048043665|048043677|048043689|048043691|048043703|048043715|048043727|048043739|048043741|048043754|048043766|048043778|048043780|048043792|048043804|048043816|048043828|048043830|048043842|048043855|048043867|048043879|048043881|048043893|048043905|048043917|048043929|048043931|048043943|048043956|048043968|048043970|048043982|048043994|048044010|048044022|048044034|048044046|048044059|048044061|048044073|048044085|048044097|048044109|048044111|048044123|048044135|048044147|048044150|048044162|048044174|048044186|048044198|048044200|048044212|048044224|048044236|048044248|048044251|048044263|048044275|048044287|048044299|048044301|048044313|048044325|048044337|048044349|048044352|048044364|048044376|048044388|048044390|048044402|048044414|048044426|048044438|048044440|048044453|048044465|048044477|048044489|048044491|048044503|048044515|048044527|048044539|048044541|048044554|048044566|048044578|048044580|048044592|048044604|048044616|048044628|048044630|048044642|048044655|048044667|048044679|048044681|048044693|048044705|048044717|048044729|048044731|048044743|048044756|048044768|048044770|048044782|048044794|048044806|048044818|048044820|048044832|048044844|048044857|048044869|048044871|048044883|048044895|048044907|048044919|048044921|048044933|048044945|048044958|048044960|048044972|048044984|048044996|048045013|048045025|048045037|048045049|048045052|048045064|048045076|048045088|048045090|048045102|048045114|048045126|048045138|048045140|048045153|048045165|048045177|048045189|048045191|048045203|048045215|048045227|048045239|048045241|048045254|048045266|048045278|048045280|048045292|048045304|048045316|048045328,V03AX,,
CHINA RUBRA,DRUG,AIFA anagrafica farmaci,CHINA RUBRA,046158010|046158022|046158034|046158046|046158059|046158061|046158073|046158085|046158097|046158109|046158111|046158123|046158135|046158147|046158150|046158162|046158174|046158186|046158198|046158200|046158212|046158224|046158236|046158248|046158251|046158263|046158275|046158287|046158299|046158301|046158313|046158325|046158337|046158349|046158352|046158364|046158376|046158388|046158390|046158402|046158414|046158426|046158438|046158440|046158453|046158465|046158477|046158489|046158491|046158503|046158515|046158527|046158539|046158541|046158554|046158566|046158578|046158580|046158592|046158604|046158616|046158628|046158630|046158642|046158655|046158667|046158679|046158693|046158705|046158717|046158729|046158731|046158743|046158756|046158768|046158770|046158782|046158794|046158806|046158818|046158820|046158832|046158844|046158857|046158869|046158871|046158883|046158895|046158907|046158919|046158921|046158933|046158945|046158958|046158960|046158972|046158984|046158996|046161016|046161028|046161030|046161042|046161055|046161067|046161079|046161081|046161093|046161105|046161117|046161129|046161131|046161143|046161156|046161168|046161170|046161182|046161194|046161206|046161218|046161220|046161232|046161244|046161257|046161269|046161271|046161283|046161295|046161307|046161319|046161321|046161333|046161345|046161358|046161360|046161372|046161384|046161396|046161408|046161410|046161422|046591018|048037016|048037028|048037030|048037042|048037055|048037067|048037079|048037081|048037093|048037105|048037117|048037129|048037131|048037143|048037156|048037168|048037170|048037182|048037194|048037206|048037218|048037220|048037232|048037244|048037257|048037269|048037271|048037283|048037295|048037307|048037319|048037321|048037333|048037345|048037358|048037360|048037372|048037384|048037396|048037408|048037410|048037422|048037434|048037446|048037459|048037461|048037473|048037485|048037497|048037509|048037511|048037523|048037535|048037547|048037550|048037562|048037574|048618019|048618021|048618033|048618045|048618058|048618060|048618072|048618084|048618096|048618108|048618110|048618122|048618134|048618146|048618159|048618161|048618173|048618185|048618197|048618209|048618211|048618223|048618235|048618247|048618250|048618262|048618274|048618286|048618298|048618300|048618312|048618324|048618336|048618348|048618351|048618363|048618375|048618387|048618399|048618401|048618413|048618425|048618437|048618449|048618452|048618464|048618476|048618488|048618490|048618502|048618514|048618526|048618538|048618540|048618553|048618565|048618577|048618589|048618591|048618603|048618615|048618627|048618639|048618641|048618654|048618666|048618678|048618680|048618692|048618704|048618716|048618728|048618730|048618742|048618755|048618767|048618779|048618781|048618793|048618805|048618817|048618829|048618831|048618843|048618856|048618868|048618870|048618882|048618894|048618906|048618918|048618920|048618932|048618944|048618957|048618969|048618971|048618983|048618995|048619011|048619023|048619035|048619047|048619050|048619062|048619074|048619086|048619098|048619100|048619112|048619124|048619136|048619148|048619151|048619163|048619175|048619187|048619199|048619201|048619213|048619225|048619237|048619249|048619252|048619264|048619276|048619288|048619290|048619302|048619314|048619326|048619338|048619340|048619353|048619365|048619377|048619389|048619391|048619403|048619415,V03AX,,
CHINA SUCCIRUBRA DYNAMIS,DRUG,AIFA anagrafica farmaci,CHINA SUCCIRUBRA DYNAMIS,047007012|047007024|047007036|047007048|047007051|047007063|047007075|047007087|047007099|047007101|047007113|047007125|047007137|047007149|047007152|047007164|047007176|047007188|047007190|047007202|047007214|047007226|047007238|047007240|047007253|047007265|047007277|047007289|047007291|047007303|047007315|047007327|047007339|047007341|047007354|047007366|047007378|047007380|047007392|047007404|047007416|047007428|047007430|047007442|047007455|047007467|047007479|047007481|047007493|047007505|047007517|047007529|047007531|047007543|047007556|047007568|047007570|047007582|047007594|047007606|047007618|047007620|047007632|047007644|047007657|047007669|047007671|047007683|047007695|047007707|047007719|047007721|047007733|047007745|047007758|047007760|047007772|047007784|047007796|047007808|047007810|047007822|047007834|047007846|047007859|047007861|047007873|047007885|047007897|047007909|047007911|047007923|047007935|047007947|047007950|047007962|047007974|047007986|047007998|047008014|047008026|047008038|047008040|047008053|047008065|047008077|047008089|047008091|047008103|047008115|047008127|047008139|047008141|047008154|047008166|047008178|047008180|047008192|047008204|047008216|047008228|047008230|047008242|047008255|047008267|047008279|047008281|047008293|047008305|047008317|047008329|047008331|047008343|047008356|047008368|047008370|047008382|047008394|047008406|047008418|047008420|047008432|047008444|047008457|047008469|047008471|047008483|047008495|047008507|047008519|047008521|047008533|047008545|047008558|047008560|047008572|047008584|047008596|047008608|047008610|047008622|047008634|047008646|047008659|047008661|047008673|047008685|047008697|047008709|047008711|047008723|047008735|047008747|047008750|047008762|047008774|047008786|047008798|047008800|047008812|047008824|047008836|047008848|047008851|047008863|047008875|047008887|047008899|047008901|047008913|047008925|047008937|047008949|047008952|047008964|047008976|047008988|047008990|047009016|047009028|047009030|047009042|047009055|047009067|047009079|047009081|047009093|047009105|047009117|047009129|047009131|047009143|047009156|047009168|047009170|047009182|047009194|047009206|047009218|047009220|047009232|047009244|047009257|047009269|047009271|047009283|047009295|047009307|047009319|047009321|047009333|047009345|047009358|047009360|047009372|047009384|047009396|047009408|047009410|047009422|047009434|047009446|047009459|047009461,V03AX,,
CHINA/THUYA OCCIDENTALIS/THUYA OCCIDENTALIS,DRUG,AIFA anagrafica farmaci,CHINA/THUYA OCCIDENTALIS/THUYA OCCIDENTALIS,052078019,V03AX,,
CHININA BICLORIDRATO,DRUG,AIFA anagrafica farmaci,CHININA BICLORIDRATO,036310011,P01BC01,,
CHININA CLORIDRATO,DRUG,AIFA anagrafica farmaci,CHININA CLORIDRATO,029833011|029833023|030659015,P01BC01,,
CHININA CLORIDRATO AGENZIA INDUSTRIE DIFESA,DRUG,AIFA anagrafica farmaci,CHININA CLORIDRATO AGENZIA INDUSTRIE DIFESA,036310011,P01BC01,,
CHININA CLORIDRATO GALENICA SENESE,DRUG,AIFA anagrafica farmaci,CHININA CLORIDRATO GALENICA SENESE,029833011|029833023,P01BC01,,
CHININA CLORIDRATO S.A.L.F.,DRUG,AIFA anagrafica farmaci,CHININA CLORIDRATO S.A.L.F.,030659015,P01BC01,,
CHININA SOLFATO,DRUG,AIFA anagrafica farmaci,CHININA SOLFATO,030470013,P01BC01,,
CHININA SOLFATO NOVA ARGENTIA,DRUG,AIFA anagrafica farmaci,CHININA SOLFATO NOVA ARGENTIA,030470013,P01BC01,,
CHININUM ARSENICOSUM,DRUG,AIFA anagrafica farmaci,CHININUM ARSENICOSUM,047779018|047779020|047779032|047779044|047779057|047779069|047779071|047779083|047779095|047779107|047779119|047779121|047779133|047779145|047779158|047779160|047779172|047779184|047779196|047779208|047779210|047779222|047779234|047779246|047779259|047779261|047779273|047779285|047779297|047779309|047779311|047779323|047779335|047779347|047779350|047779362|047779374|047779386|047779398|047779400|047779412|050888015,V03AX,,
CHININUM ARSENICOSUM DYNAMIS,DRUG,AIFA anagrafica farmaci,CHININUM ARSENICOSUM DYNAMIS,047779018|047779020|047779032|047779044|047779057|047779069|047779071|047779083|047779095|047779107|047779119|047779121|047779133|047779145|047779158|047779160|047779172|047779184|047779196|047779208|047779210|047779222|047779234|047779246|047779259|047779261|047779273|047779285|047779297|047779309|047779311|047779323|047779335|047779347|047779350|047779362|047779374|047779386|047779398|047779400|047779412,V03AX,,
CHININUM SULFURICUM,DRUG,AIFA anagrafica farmaci,CHININUM SULFURICUM,046443014|046443026|046443038|046443040|046443053|046443065|046443077|046443089|046443091|046443103|046443115|046443127|046443139|046443141|046443154|046443166|046443178|046443180|046443192|046443204|046443216|046443228|046443230|046443242|046443255|046443267|046443279|046443281|046443293|046443305|046443317|046443329|046443331|046443343|046443356|046443368|046443370|046443382|046443394|046443406|046443418|046443420|046443432|046443444|046443457|046443469|046443471|046443483|046443495|046443507|046443519|046443521|046443533|046443545|046443558|046443560|046443572|046443584|046443596|046443608|046443610|046443622|046443634|046443646|046443659|046443661|046443673|046443685|046443697|046443709|046443711,V03AX,,
CHININUM SULFURICUM DYNAMIS,DRUG,AIFA anagrafica farmaci,CHININUM SULFURICUM DYNAMIS,049621016|049621028|049621030|049621042|049621055|049621067|049621079|049621081|049621093|049621105|049621117|049621129|049621131|049621143|049621156|049621168|049621170|049621182|049621194|049621206|049621218|049621220|049621232|049621244|049621257|049621269|049621271|049621283|049621295|049621307|049621319|049621321|049621333|049621345|049621358|049621360|049621372|049621384|049621396|049621408|049621410|049621422|049621434|049621446|049621459|049621461|049621473|049621485|049621497|049621509|049621511|049621523|049621535|049621547|049621550|049621562|049621574|049621586|049621598|049621600|049621612|049621624|049621636|049621648|049621651|049621663|049621675|049621687|049621699|049621701|049621713|049621725|049621737|049621749|049621752|049621764|049621776|049621788|049621790|049621802|049621814|049621826|049621838|049621840|049621853|049621865|049621877|049621889|049621891|049621903|049621915|049621927|049621939|049621941|049621954|049621966|049621978|049621980|049621992|049622018|049622020|049622032|049622044|049622057|049622069|049622071|049622083|049622095|049622107|049622119|049622121|049622133|049622145|049622158|049622160|049622172|049622184|049622196|049622208|049622210|049622222|049622234|049622246|049622259|049622261|049622273|049622285|049622297|049622309|049622311|049622323|049622335|049622347|049622350|049622362|049622374|049622386|049622398|049622400|049622412|049622424|049622436|049622448|049622451|049622463|049622475|049622487|049622499|049622501|049622513|049622525|049622537|049622549|049622552|049622564|049622576|049622588|049622590|049622602|049622614|049622626|049622638|049622640|049622653|049622665|049622677|049622689|049622691|049622703|049622715|049622727|049622739|049622741|049622754|049622766|049622778|049622780|049622792|049622804|049622816|049622828,V03AX,,
CHINOCID,DRUG,AIFA anagrafica farmaci,CHINOCID,037293014|037293026|037293038,J01MA02,,
CHINOPLUS,DRUG,AIFA anagrafica farmaci,CHINOPLUS,035679012|035679024|035679036|035679048,J01MA17,,
CHLORAPREP,DRUG,AIFA anagrafica farmaci,CHLORAPREP,040409017|040409029|040409031|040409043|040409068|040409070|040409082|040409094|040409106|040409118|040409120|040409132|040409144|040409157|040409171|040409183,D08AC52,,
CHOLECOMB,DRUG,AIFA anagrafica farmaci,CHOLECOMB,043496013|043496025|043496037|043496049|043496052|043496064|043496076|043496088|043496090|043496102|043496114|043496126|043496138|043496140|043496153|043496165|043496177|043496189|043496191|043496203|043496215|043496227|043496239|043496241|043496254|043496266|043496278|043496280,C10BA06,,
CHOLESTERINUM,DRUG,AIFA anagrafica farmaci,CHOLESTERINUM,046843013|047361011|047361023|047361035|047361047|047361050|047361062|047361074|047361086|047361098|047361100|047361112|047361124|047361136|047361148|047361151|047361163|047361175|047361187|047361199|047361201|047361213|047361225|047361237|047361249|047361252|047361264|047361276|047361288|047361290|047361302|047361314|047361326|047361338|047361340|047361353|047361365|047361377|047361389|047361391|047361403|047361415|047361427|047361439|047361441|047361454|047361466|047361478|047361480|047361492|047361504|047361516|047361528|047361530|047361542|047361555|047361567|047361579|048353015,V03AX,,
CHOLESTERINUM DYNAMIS,DRUG,AIFA anagrafica farmaci,CHOLESTERINUM DYNAMIS,048291013|048291025|048291037|048291049|048291052|048291064|048291076|048291088|048291090|048291102|048291114|048291126|048291138|048291140|048291153|048291165|048291177|048291189|048291191|048291203|048291215|048291227|048291239|048291241|048291254|048291266|048291278|048291280|048291292|048291304|048291316|048291328|048291330|048291342|048291355|048291367|048291379|048291381|048291393|048291405|048291417|048291429|048291431|048291443|048291456|048291468|048291470|048291482|048291494|048291506|048291518|048291520|048291532|048291544|048291557|048291569|048291571|048291583|048291595|048291607|048291619|048291621|048291633|048291645|048291658|048291660|048291672|048291684|048291696|048291708|048291710|048291722|048291734|048291746|048291759|048291761|048291773|048291785|048291797|048291809|048291811|048291823|048291835|048291847|048291850|048291862|048291874|048291886|048291898|048291900|048291912|048291924|048291936|048291948|048291951|048291963|048291975|048291987|048291999|048292015|048292027|048292039|048292041|048292054|048292066|048292078|048292080|048292092|048292104|048292116|048292128|048292130|048292142|048292155|048292167|048292179|048292181|048292193|048292205|048292217|048292229|048292231|048292243|048292256|048292268|048292270|048292282|048292294|048292306|048292318|048292320|048292332|048292344|048292357|048292369|048292371|048292383|048292395|048292407|048292419|048292421|048292433|048292445|048292458|048292460|048292472|048292484|048292496|048292508|048292510|048292522|048292534|048292546|048292559|048292561|048292573|048292585|048292597|048292609|048292611|048292623|048292635|048292647|048292650|048292662|048292674|048292686|048292698|048292700|048292712|048292724|048292736|048292748|048292751|048292763|048292775|048292787|048292799,V03AX,,
CHOLIB,DRUG,AIFA anagrafica farmaci,CHOLIB,042945016|042945028|042945030|042945042|042945055|042945067,C10BA04,,
CHOLSCAN,DRUG,AIFA anagrafica farmaci,CHOLSCAN,045303017,V09IX07,,
CIALIS,DRUG,AIFA anagrafica farmaci,CIALIS,035672017|035672029|035672031|035672043|035672056|035672068|035672070|035672082|035672094|035672106|041720018|042791018|042791020|047249014|047249026|047249038|047249040|047249053|047249065|048040012|048040024|049230016|049230028|049553011|049553023|049553035|049553047|049553050|050828019|050828021|050828033|051126011|051126023|051126035,G04BE08,,
CIANOCOBALAMINA,DRUG,AIFA anagrafica farmaci,CIANOCOBALAMINA,003785019|003785033|003785045|003785058|012046025|012046049|013092010|013092022|019941020|020213144|021076070|023296039|023585019|027984018|035110016|035112010|037936010|050250012|050250024|050250036|050250048|050250051|050250063|050250075|052335015,A11DB|A11JA|A13A|B03BA01|B03BA51|B05XC|N06BX,,
CIANOCOBALAMINA/ACIDO FOLICO/NICOTINAMIDE/ACIDO ASCORBICO/CIANOCOBALAMINA/ACIDO FOLICO/NICOTINAMIDE/ACIDO ASCORBICO,DRUG,AIFA anagrafica farmaci,CIANOCOBALAMINA/ACIDO FOLICO/NICOTINAMIDE/ACIDO ASCORBICO/CIANOCOBALAMINA/ACIDO FOLICO/NICOTINAMIDE/ACIDO ASCORBICO,013092010|013092022|035110016,A11JA,,
CIANOCOBALAMINA/CALCIO FOLINATO,DRUG,AIFA anagrafica farmaci,CIANOCOBALAMINA/CALCIO FOLINATO,021076070,B03BA51,,
CIBADREX,DRUG,AIFA anagrafica farmaci,CIBADREX,028037024|028037048,C09BA07,,
CIBALGINA DUE,DRUG,AIFA anagrafica farmaci,CIBALGINA DUE,029500030|029500055,M01AE01,,
CIBALGINAFOR,DRUG,AIFA anagrafica farmaci,CIBALGINAFOR,038599015|038599027|038599039,M01AE01,,
CIBINQO,DRUG,AIFA anagrafica farmaci,CIBINQO,049826011|049826023|049826035|049826047|049826050|049826062|049826074|049826086|049826098|049826100|049826112|049826124|049826136|049826148|049826151,D11AH08,,
CICHORIUM INTYBUS,DRUG,AIFA anagrafica farmaci,CICHORIUM INTYBUS,047167010,V03AX,,
CICLESONIDE,DRUG,AIFA anagrafica farmaci,CICLESONIDE,038873030|038873042|038873055|038873067|038873079|038873081|038873105|038873117|038873129|050839012|050839024|050839036,R03BA08,,
CICLOBENZAPRINA CLORIDRATO,DRUG,AIFA anagrafica farmaci,CICLOBENZAPRINA CLORIDRATO,025327026,M03BX08,,
CICLOFOSFAMIDE,DRUG,AIFA anagrafica farmaci,CICLOFOSFAMIDE,015628011|015628062|015628074|015628086|051650012|051650024,L01AA01,,
CICLOFOSFAMIDE ACCORD,DRUG,AIFA anagrafica farmaci,CICLOFOSFAMIDE ACCORD,051209017|051209029|051209031|051209043|051209056|051209068|051209070|051209082|051209094|051209106|051209118|051209120|051209132|051209144|051209157|051209169,L01AA01,,
CICLOFOSFAMIDE MONOIDRATA,DRUG,AIFA anagrafica farmaci,CICLOFOSFAMIDE MONOIDRATA,051209017|051209029|051209031|051209043|051209056|051209068|051209070|051209082|051209094|051209106|051209118|051209120|051209132|051209144|051209157|051209169,L01AA01,,
CICLOFOSFAMIDE SEACROSS,DRUG,AIFA anagrafica farmaci,CICLOFOSFAMIDE SEACROSS,051650012|051650024,L01AA01,,
CICLOLUX,DRUG,AIFA anagrafica farmaci,CICLOLUX,019163017,S01FA04,,
CICLOPENTOLATO CLORIDRATO,DRUG,AIFA anagrafica farmaci,CICLOPENTOLATO CLORIDRATO,019163017|049916012,S01FA04,,
CICLOPIROX,DRUG,AIFA anagrafica farmaci,CICLOPIROX,037474020|037474032|039390012|039390024|041130016|041130028,D01AE14,,
CICLOPIROX SALE DI OLAMINA,DRUG,AIFA anagrafica farmaci,CICLOPIROX SALE DI OLAMINA,025216045|025216072|025216084|025217100|025217112|025217136|025218013|025218102|025218114|025235019|025235033|025235058|025235072|025235108|025235110|032207019|032207021,D01AE14|G01AX12,,
CICLOSILICATO DI SODIO E ZIRCONIO,DRUG,AIFA anagrafica farmaci,CICLOSILICATO DI SODIO E ZIRCONIO,046335016|046335028|046335030|046335042|046335055|046335067|046335079|046335081|046335093|046335105|046335117|046335129,V03AE10,,
CICLOSPORINA,DRUG,AIFA anagrafica farmaci,CICLOSPORINA,025306010|025306022|025306034|025306046|025306059|029453014|029453026|029453038|029453040|029453053|042787010|042787022|042787034|042787046|042787059|042787061|042787073|042787085|042787097|042787109|042787111|042787123|042787135|042787147|042787150|042787162|042787174|042787186|042787198|042787200|042787212|042787224|042787236|042787248|042787251|042787263|042787275|042787287|042787299|044013011|044013023|044013035|044013047|044013050|045335015|045336017|046918013|046918025|046918037|046918049|046918052|050580024|050580036|050580048|051619017,L04AD01|S01XA18,,
