preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
ABIRATERONE ACETATO,DRUG,AIFA anagrafica farmaci,ABIRATERONE ACETATO,041427016|041427028|041427030|048401057|048401069|048401119|048401121|048401133|048401160|048401172|048401184|048401196|048401208|048401210|048401222|048401234|048401261|048401273|048401285|048401297|048401309|048401311|048401323|048401335|048401347|048749016|048749028|048749030|048749042|048749055|048749067|048749079|048749081|048749093|048749105|048749117|048749129|048749131|049297017|049297029|049297031|049298021|049298033|049298045|049475015|049475027|049475039|049475041|049475054|049475066|049475078|049475080|049475092|049475104|049475116|049475128|049475130|049475142|049475155|049475167|049475179|049475181|049475193|049475205|049475217|049475229|049475231|049475243|049475256|049475268|049475270|049475282|049475294|049475306|049475318|049475320|049475332|049475344|049475357|049475369|049686013|049686025|049686037|049686049|049686052|049686064|049686076|049686088|049686090|049686102|049686114|049686126|049686138|049686140|049686153|049686165|049755010|049755022|049755034|049755046|049755059|050293012|050293024|050293036|050939014|050939026|050939038|051104014|051289015|051289027|051581015|051581027|051581039|051581041|051581054,L02BX03,,
ABIRATERONE ARISTO,DRUG,AIFA anagrafica farmaci,ABIRATERONE ARISTO,049298021|049298033|049298045,L02BX03,,
ABIRATERONE EG,DRUG,AIFA anagrafica farmaci,ABIRATERONE EG,049475015|049475027|049475039|049475041|049475054|049475066|049475078|049475080|049475092|049475104|049475116|049475128|049475130|049475142|049475155|049475167|049475179|049475181|049475193|049475205|049475217|049475229|049475231|049475243|049475256|049475268|049475270|049475282|049475294|049475306|049475318|049475320|049475332|049475344|049475357|049475369,L02BX03,,
ABIRATERONE FARMOZ,DRUG,AIFA anagrafica farmaci,ABIRATERONE FARMOZ,051104014,L02BX03,,
ABIRATERONE KRKA,DRUG,AIFA anagrafica farmaci,ABIRATERONE KRKA,049583014|049583026|049583038,L02BX03,,
ABIRATERONE MEDAC,DRUG,AIFA anagrafica farmaci,ABIRATERONE MEDAC,049297017|049297029|049297031,L02BX03,,
ABIRATERONE MEDICAL VALLEY,DRUG,AIFA anagrafica farmaci,ABIRATERONE MEDICAL VALLEY,051289015|051289027,L02BX03,,
ABIRATERONE MYLAN,DRUG,AIFA anagrafica farmaci,ABIRATERONE MYLAN,049686013|049686025|049686037|049686049|049686052|049686064|049686076|049686088|049686090|049686102|049686114|049686126|049686138|049686140|049686153|049686165,L02BX03,,
ABIRATERONE OLPHA,DRUG,AIFA anagrafica farmaci,ABIRATERONE OLPHA,050939014|050939026|050939038,L02BX03,,
ABIRATERONE QILU,DRUG,AIFA anagrafica farmaci,ABIRATERONE QILU,050048014|050048026|050048038|050048040,L02BX03,,
